20,"select top # p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-01-14 16:36:00,1
2019-01-26 20:29:00,1
2019-03-10 02:52:00,1
2019-03-10 02:53:00,1
2019-03-10 02:55:00,1
2019-03-10 02:57:00,1
2019-04-09 18:52:00,1
2019-06-16 04:23:00,1
2019-06-16 05:22:00,1
2019-06-16 06:36:00,2
2019-06-20 16:47:00,1
2019-09-16 02:10:00,1
2019-09-16 04:16:00,1
2019-09-21 06:52:00,1
2019-10-12 00:39:00,1
2019-11-03 06:58:00,1
2019-11-20 19:43:00,1
2019-11-20 19:47:00,1
2019-11-20 19:50:00,1
