120,"INSERT INTO [TRACTS] (VINTAGE, STATE, COUNTY, TRACT, GEOM, CENTROID) VALUES (#, #, #, #, geography::STGeomFromWKB (#"
2019-10-22 13:25:00,1
2019-10-22 13:46:00,1
2019-10-22 15:20:00,1
2019-10-22 15:30:00,1
2019-10-22 17:16:00,1
2019-10-22 17:17:00,1
2019-10-22 17:23:00,6
2019-10-22 17:24:00,3
2019-10-22 17:28:00,2
2019-10-22 17:29:00,2
2019-10-22 17:33:00,1
2019-10-22 17:38:00,1
2019-10-22 17:57:00,5
2019-10-22 17:58:00,6
2019-10-22 17:59:00,1
2019-10-22 18:03:00,1
2019-10-22 18:07:00,1
2019-10-22 18:11:00,1
2019-10-22 18:15:00,1
2019-10-22 18:16:00,1
2019-10-22 18:17:00,2
2019-10-22 19:07:00,1
2019-10-22 19:08:00,2
2019-10-22 19:15:00,1
2019-10-22 19:25:00,2
2019-10-22 19:26:00,2
2019-10-22 19:32:00,1
2019-10-22 19:36:00,1
2019-10-22 19:38:00,1
2019-10-22 19:41:00,1
2019-10-23 00:15:00,1
2019-10-23 00:34:00,1
2019-10-23 00:44:00,2
2019-10-23 00:46:00,2
2019-10-23 00:47:00,1
2019-10-23 01:12:00,3
2019-10-23 01:13:00,1
2019-10-23 01:40:00,1
2019-10-23 02:22:00,1
2019-10-23 02:23:00,3
2019-10-23 02:27:00,7
2019-10-23 02:28:00,1
2019-10-23 02:36:00,1
2019-10-23 02:41:00,1
2019-10-23 02:48:00,2
2019-10-23 02:55:00,2
2019-10-23 02:56:00,6
2019-10-23 02:57:00,3
2019-10-23 03:00:00,3
2019-10-23 03:26:00,1
2019-10-23 03:34:00,1
2019-10-23 03:35:00,4
2019-10-23 03:37:00,3
2019-10-23 03:57:00,1
2019-10-23 03:58:00,1
2019-10-23 03:59:00,1
2019-10-23 04:00:00,2
2019-10-23 04:01:00,2
2019-10-23 04:04:00,1
2019-10-23 04:28:00,1
2019-10-23 04:31:00,4
2019-10-23 04:32:00,3
2019-10-23 05:29:00,1
