119,"SELECT p.objID, p.ra, p.dec, p.clean, p.flags, s.specObjID as specObjID, s.z_noqso as specz_noqso, s.zErr_noqso as speczErr_noqso, s.zWarning_noqso as speczWarning_noqso, s.class, p.rowv as RowV, p.rowvErr as RowVErr, p.colv as ColV, p.colvErr as ColVErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE ( (p.rowv*p.rowv) / (p.rowVerr*p.rowVerr) + (p.colv*p.colv) / (p.colvErr*p.colvErr) > #) AND s.z_noqso> # AND s.zErr_noqso> # AND s.class = # AND ( (flags & #) ! =#) AND ( (flags & #) = #) AND ( (flags & #) = #) AND ( (flags & #) = #) AND # < = p.ra and p.ra < = # and # < = p.dec and p.dec < = #"
2019-05-08 11:46:00,4
2019-05-08 11:47:00,2
2019-05-08 11:48:00,2
2019-05-08 11:58:00,2
2019-05-08 11:59:00,2
2019-05-08 12:00:00,4
2019-05-08 12:05:00,2
2019-05-08 12:32:00,2
2019-05-09 05:27:00,3
2019-05-09 05:28:00,8
2019-05-09 05:29:00,7
2019-05-09 05:30:00,7
2019-05-09 05:31:00,7
2019-05-09 05:32:00,6
2019-05-09 05:33:00,4
2019-05-09 05:34:00,5
2019-05-09 05:35:00,3
2019-05-09 05:36:00,5
2019-05-09 05:37:00,6
2019-05-09 05:38:00,5
2019-05-09 05:39:00,8
2019-05-09 05:40:00,2
2019-05-09 05:41:00,3
2019-05-09 05:42:00,8
2019-05-09 05:43:00,1
2019-05-09 05:44:00,2
2019-05-09 05:45:00,7
2019-05-09 05:46:00,2
