1706,select * from zooSpec where objid = #
2019-01-01 02:50:00,1
2019-01-01 02:51:00,1
2019-01-01 03:36:00,1
2019-01-01 05:30:00,1
2019-01-01 06:45:00,1
2019-01-01 10:19:00,2
2019-01-01 11:00:00,1
2019-01-01 11:42:00,1
2019-01-01 21:00:00,1
2019-01-01 22:14:00,1
2019-01-02 02:36:00,1
2019-01-02 04:30:00,1
2019-01-02 05:54:00,1
2019-01-02 08:15:00,1
2019-01-02 09:17:00,1
2019-01-02 15:13:00,1
2019-01-02 15:32:00,1
2019-01-02 15:51:00,1
2019-01-02 16:03:00,1
2019-01-02 16:33:00,1
2019-01-02 16:52:00,1
2019-01-02 17:42:00,1
2019-01-02 18:05:00,1
2019-01-02 18:06:00,1
2019-01-02 18:18:00,1
2019-01-02 18:53:00,1
2019-01-02 20:27:00,1
2019-01-02 21:09:00,1
2019-01-02 22:12:00,1
2019-01-02 22:51:00,1
2019-01-02 23:11:00,1
2019-01-02 23:19:00,1
2019-01-03 00:06:00,1
2019-01-03 00:07:00,1
2019-01-03 02:16:00,1
2019-01-03 04:45:00,1
2019-01-03 05:31:00,1
2019-01-03 05:50:00,1
2019-01-03 07:36:00,1
2019-01-03 09:57:00,1
2019-01-03 10:45:00,1
2019-01-03 11:52:00,1
2019-01-03 12:42:00,1
2019-01-03 12:45:00,1
2019-01-03 13:56:00,1
2019-01-03 15:54:00,1
2019-01-03 16:07:00,1
2019-01-03 17:03:00,1
2019-01-03 20:07:00,1
2019-01-03 21:15:00,1
2019-01-04 00:42:00,1
2019-01-04 01:00:00,1
2019-01-04 01:28:00,1
2019-01-04 02:04:00,1
2019-01-04 04:14:00,1
2019-01-04 04:50:00,1
2019-01-04 05:07:00,2
2019-01-04 05:48:00,1
2019-01-04 06:07:00,1
2019-01-04 06:13:00,1
2019-01-04 06:27:00,1
2019-01-04 06:43:00,1
2019-01-04 08:29:00,1
2019-01-04 09:19:00,1
2019-01-04 09:33:00,1
2019-01-04 10:38:00,1
2019-01-04 13:10:00,1
2019-01-04 13:12:00,1
2019-01-04 13:13:00,1
2019-01-04 13:15:00,1
2019-01-04 13:26:00,1
2019-01-04 13:45:00,1
2019-01-04 13:51:00,1
2019-01-04 14:50:00,1
2019-01-04 15:04:00,1
2019-01-04 15:29:00,1
2019-01-04 15:36:00,1
2019-01-04 17:39:00,1
2019-01-04 18:51:00,1
2019-01-04 19:16:00,1
2019-01-04 20:47:00,1
2019-01-04 22:00:00,1
2019-01-04 22:05:00,1
2019-01-04 22:13:00,1
2019-01-05 11:02:00,1
2019-01-05 13:28:00,1
2019-01-05 17:17:00,1
2019-01-06 01:54:00,1
2019-01-06 02:40:00,1
2019-01-06 03:43:00,1
2019-01-06 07:52:00,1
2019-01-06 10:52:00,1
2019-01-06 11:21:00,1
2019-01-07 16:19:00,1
2019-01-08 07:42:00,1
2019-01-08 18:13:00,1
2019-01-08 19:04:00,1
2019-01-09 03:00:00,1
2019-01-09 05:36:00,1
2019-01-09 15:35:00,1
2019-01-10 04:53:00,1
2019-01-10 06:31:00,1
2019-01-10 15:09:00,1
2019-01-10 21:42:00,1
2019-01-11 08:56:00,1
2019-01-19 08:57:00,1
2019-01-19 17:55:00,1
2019-01-20 03:47:00,1
2019-01-20 07:24:00,1
2019-01-20 08:42:00,1
2019-01-20 13:23:00,1
2019-01-20 22:01:00,1
2019-01-21 04:55:00,1
2019-01-21 06:04:00,1
2019-01-21 08:03:00,1
2019-01-22 07:09:00,1
2019-01-22 08:09:00,1
2019-01-22 09:38:00,1
2019-01-22 15:44:00,1
2019-01-22 22:32:00,1
2019-01-23 06:40:00,1
2019-01-23 11:34:00,1
2019-01-24 06:09:00,1
2019-01-24 06:23:00,1
2019-01-24 07:54:00,1
2019-01-24 12:41:00,1
2019-01-25 20:31:00,1
2019-01-26 02:00:00,1
2019-01-27 04:03:00,11
2019-01-27 07:17:00,1
2019-01-27 12:55:00,1
2019-01-27 13:05:00,1
2019-01-27 14:18:00,1
2019-01-27 15:30:00,1
2019-01-27 18:13:00,1
2019-01-27 19:38:00,1
2019-01-27 20:45:00,1
2019-01-27 23:29:00,1
2019-01-28 09:25:00,1
2019-01-28 10:25:00,1
2019-01-28 11:32:00,1
2019-01-28 15:33:00,1
2019-01-28 16:50:00,1
2019-01-28 19:03:00,1
2019-01-29 02:17:00,1
2019-01-29 04:46:00,1
2019-01-29 15:01:00,1
2019-01-29 17:20:00,1
2019-01-30 04:02:00,1
2019-01-30 06:05:00,2
2019-01-30 07:12:00,1
2019-01-30 09:15:00,1
2019-01-30 17:27:00,1
2019-01-30 20:26:00,1
2019-01-30 20:54:00,1
2019-01-30 22:28:00,1
2019-01-30 22:47:00,1
2019-01-31 06:08:00,1
2019-01-31 16:48:00,1
2019-01-31 20:40:00,1
2019-01-31 21:09:00,1
2019-02-01 03:25:00,1
2019-02-01 04:12:00,1
2019-02-01 15:36:00,1
2019-02-01 16:49:00,1
2019-02-01 18:27:00,5
2019-02-01 18:28:00,3
2019-02-01 21:16:00,1
2019-02-02 00:32:00,1
2019-02-02 03:54:00,3
2019-02-02 04:54:00,1
2019-02-02 11:31:00,1
2019-02-04 10:21:00,1
2019-02-04 13:25:00,1
2019-02-05 03:41:00,1
2019-02-10 16:15:00,1
2019-02-11 22:29:00,1
2019-02-14 00:02:00,1
