3,"SELECT ra, dec, z, zErr, velDisp, velDispErr, class, subClass FROM SpecObj as s WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-11-02 23:41:00,2
2019-11-02 23:44:00,1
