33,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, p.psffwhm_i, p.psffwhm_r, p.psffwhm_g, p.expRad_i, p.expRad_r, p.expRad_g, p.expAB_i, p.expAB_r, p.expAB_g, p.expPhi_i, p.expPhi_r, p.expPhi_g FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON s.specobjid = p.specobjid WHERE p.specobjid = #"
2019-01-25 21:54:00,1
2019-02-06 17:59:00,1
2019-02-08 01:19:00,1
2019-02-08 01:46:00,1
2019-02-08 01:49:00,2
2019-02-08 02:15:00,2
2019-02-08 02:16:00,1
2019-02-08 02:17:00,2
2019-02-08 02:18:00,1
2019-02-08 02:19:00,1
2019-02-08 02:20:00,2
2019-02-08 02:21:00,2
2019-02-08 02:22:00,3
2019-02-08 02:23:00,1
2019-02-08 02:24:00,1
2019-02-08 02:25:00,3
2019-02-08 02:26:00,3
2019-02-08 02:27:00,1
2019-02-14 17:14:00,1
2019-02-14 17:15:00,3
