2,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND (#/p.err_r > #) AND (clean = #) AND ( (f.quality = #) OR (f.quality = #) ) AND (p.type = dbo.fPhotoType (#) )"
2019-08-14 08:59:00,1
2019-08-14 09:01:00,1
