24,"SELECT TOP # p.u, p.g, p.r, p.i, p.z, s.class, s.z, s.zerr FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND s.class = #"
2019-05-12 14:28:00,1
2019-05-12 14:30:00,1
2019-05-12 14:35:00,1
2019-05-12 14:37:00,1
2019-05-12 14:38:00,1
2019-05-12 14:40:00,1
2019-05-12 14:41:00,1
2019-05-12 14:45:00,1
2019-05-12 14:57:00,1
2019-05-12 14:58:00,1
2019-05-12 15:02:00,1
2019-05-12 15:05:00,2
2019-05-12 15:06:00,1
2019-05-12 16:06:00,1
2019-05-12 16:10:00,1
2019-10-14 07:13:00,1
2019-10-14 07:19:00,1
2019-10-14 07:20:00,2
2019-10-14 07:33:00,1
2019-10-14 07:34:00,2
2019-10-14 07:35:00,1
