3,"create table courseTeacher (number varchar (#) , name varchar (#) , description varchar1#) , credits int , teacherName varchar (#) not #, teacherEmail varchar (#) , teacherOffice varchar (#) )"
2019-02-18 16:02:00,1
2019-02-18 16:03:00,2
