4,"select top # p.objid, p.ra, p.dec, s.z as redshift, s.specobjid, s.plate, s.mjd, s.fiberid from photoobj p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-01-24 03:04:00,1
2019-01-24 03:08:00,2
2019-09-20 02:05:00,1
