3,"SELECT TOP # g, r, ra, dec, petroMag_r FROM Galaxy WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-10-25 21:13:00,1
2019-10-25 21:21:00,1
2019-10-25 21:22:00,1
