271,"SELECT TOP # s.apogee_id, s.ra, s.dec, s.glon, s.glat, s.vhelio_avg, s.vscatter, a.teff, a.teff_err, a.logg, a.logg_err, a.param_m_h, a.param_m_h_err, a.param_alpha_m, a.param_alpha_m_err, dbo.fApogeeAspcapFlagN (a.aspxcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE (a.aspxcapflag"
2019-01-01 11:09:00,2
2019-01-02 00:19:00,2
2019-01-02 00:49:00,2
2019-01-06 12:41:00,2
2019-01-07 00:11:00,2
2019-01-08 06:27:00,2
2019-01-08 07:28:00,2
2019-01-11 04:43:00,1
2019-01-11 04:44:00,1
2019-01-12 03:16:00,2
2019-01-13 08:31:00,2
2019-01-13 09:10:00,2
2019-01-22 08:28:00,2
2019-01-23 22:13:00,1
2019-01-23 23:27:00,2
2019-01-25 15:58:00,2
2019-01-30 09:30:00,2
2019-02-04 13:40:00,2
2019-02-04 14:12:00,2
2019-02-04 14:42:00,2
2019-02-08 18:13:00,2
2019-02-08 22:18:00,1
2019-02-08 22:19:00,1
2019-02-10 05:53:00,2
2019-02-10 09:43:00,2
2019-02-11 11:14:00,2
2019-02-14 12:11:00,2
2019-02-14 18:51:00,2
2019-02-18 03:06:00,1
2019-02-18 03:07:00,1
2019-02-27 19:51:00,2
2019-02-27 22:30:00,2
2019-02-28 03:34:00,2
2019-03-01 12:58:00,2
2019-03-01 22:34:00,2
2019-03-02 02:09:00,2
2019-03-05 07:33:00,2
2019-03-05 08:54:00,2
2019-03-10 18:12:00,2
2019-03-26 19:55:00,2
2019-03-26 20:29:00,2
2019-03-26 20:57:00,2
2019-03-28 16:15:00,2
2019-03-28 19:59:00,2
2019-04-01 18:25:00,2
2019-04-01 22:19:00,2
2019-04-08 15:37:00,2
2019-04-08 18:49:00,2
2019-04-09 21:16:00,2
2019-04-09 21:21:00,2
2019-04-09 21:23:00,2
2019-04-10 00:37:00,2
2019-04-16 18:45:00,2
2019-04-18 21:56:00,2
2019-04-19 01:41:00,2
2019-04-19 19:07:00,2
2019-05-01 15:01:00,1
2019-05-01 15:02:00,1
2019-05-02 11:16:00,1
2019-05-02 11:17:00,1
2019-05-03 14:48:00,2
2019-05-03 17:27:00,2
2019-05-10 16:24:00,2
2019-05-15 23:58:00,2
2019-05-16 00:42:00,2
2019-05-18 20:35:00,2
2019-05-18 21:23:00,2
2019-05-18 22:01:00,1
2019-05-18 22:02:00,1
2019-05-23 10:01:00,2
2019-05-23 13:34:00,2
2019-05-24 08:56:00,2
2019-05-24 13:32:00,2
2019-06-10 21:05:00,2
2019-06-10 21:22:00,2
2019-06-15 09:27:00,2
2019-06-18 11:51:00,2
2019-06-18 13:13:00,2
2019-06-18 14:47:00,2
2019-06-20 00:11:00,2
2019-06-20 03:55:00,2
2019-06-23 22:40:00,1
2019-06-23 23:34:00,1
2019-06-25 12:33:00,1
2019-06-25 12:34:00,1
2019-07-01 21:26:00,2
2019-07-02 01:31:00,2
2019-07-02 15:17:00,2
2019-07-02 19:44:00,2
2019-07-12 19:14:00,2
2019-07-20 00:22:00,2
2019-07-20 05:30:00,2
2019-07-22 05:30:00,1
2019-07-22 05:31:00,1
2019-07-24 02:11:00,2
2019-07-24 08:13:00,2
2019-07-25 23:07:00,2
2019-08-06 02:37:00,2
2019-08-14 22:48:00,2
2019-08-15 03:52:00,2
2019-08-16 23:41:00,2
2019-08-17 09:15:00,1
2019-08-20 23:05:00,2
2019-08-21 04:45:00,2
2019-08-23 01:43:00,2
2019-08-23 08:00:00,2
2019-08-30 11:13:00,2
2019-09-06 21:59:00,2
2019-09-07 10:37:00,2
2019-09-13 00:35:00,2
2019-09-13 05:09:00,2
2019-09-14 17:55:00,2
2019-09-15 00:00:00,2
2019-09-15 07:00:00,1
2019-09-15 07:01:00,1
2019-09-15 08:03:00,2
2019-09-27 23:58:00,2
2019-09-28 04:49:00,2
2019-09-30 01:47:00,2
2019-09-30 07:54:00,1
2019-10-19 09:56:00,1
2019-10-19 09:57:00,1
2019-10-19 17:37:00,2
2019-10-22 03:54:00,2
2019-10-22 10:08:00,2
2019-10-22 20:26:00,2
2019-10-24 09:47:00,2
2019-10-24 16:35:00,2
2019-10-24 21:38:00,2
2019-10-25 00:36:00,2
2019-10-25 00:45:00,2
2019-10-26 18:03:00,2
2019-10-26 19:35:00,2
2019-10-27 10:09:00,2
2019-10-30 23:45:00,2
2019-10-31 04:10:00,2
2019-11-02 01:08:00,2
2019-11-02 07:08:00,2
2019-11-20 04:48:00,2
2019-11-20 12:34:00,2
2019-11-22 18:42:00,2
2019-11-23 00:32:00,2
2019-12-03 01:10:00,2
2019-12-03 08:29:00,2
2019-12-05 11:13:00,2
2019-12-05 19:12:00,2
2019-12-18 01:02:00,2
2019-12-31 00:04:00,2
