4,"SELECT TOP # G.ObjID, u, g, Q.ra, Q.dec, Q.z, Q.BestObjID, G.ObjID, N.distance From Galaxy as G, SpecObj as Q, Neighbors as N, SpecObj as S WHERE G.ObjID = S.BestObjID and Q.z > # and Q.z < # and u < # and Q.class IN () and Q.BestObjID = N.ObjID and G.ObjID = N.NeighborObjID and N.distance < #/#"
2019-02-21 03:34:00,2
2019-02-21 03:44:00,1
2019-02-21 03:48:00,1
