327,"select ra, dec, l, b, #*LOG1# (psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1# (psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #/SQRT (psfFluxIvar_u) /psfFlux_u as psfPogErr_u, #/SQRT (psfFluxIvar_g) /psfFlux_g as psfPogErr_g, from star as s where ra between # and # and dec between # and # and s.clean = # and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-02-21 15:08:00,1
2019-02-21 15:09:00,33
2019-02-21 15:10:00,83
2019-02-21 15:11:00,84
2019-02-21 15:12:00,84
2019-02-21 15:13:00,41
2019-02-21 15:39:00,1
