110,"select p.objid, p.ra, p.dec, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND #"
2019-01-17 18:00:00,1
2019-01-17 18:09:00,1
2019-02-05 14:12:00,1
2019-02-07 10:40:00,1
2019-02-07 10:47:00,1
2019-02-07 10:53:00,1
2019-02-07 10:54:00,1
2019-02-07 11:27:00,2
2019-02-07 11:29:00,1
2019-02-07 11:30:00,1
2019-02-07 11:35:00,2
2019-02-07 11:36:00,1
2019-02-07 11:37:00,1
2019-02-07 11:41:00,2
2019-02-07 11:42:00,1
2019-02-07 11:43:00,1
2019-02-07 11:44:00,1
2019-02-07 11:45:00,2
2019-02-07 14:04:00,1
2019-02-07 14:08:00,1
2019-02-07 14:40:00,1
2019-02-07 14:42:00,1
2019-02-07 14:44:00,1
2019-02-07 14:45:00,1
2019-02-07 14:47:00,1
2019-02-07 14:48:00,1
2019-02-07 14:49:00,1
2019-02-07 14:51:00,1
2019-02-07 14:52:00,1
2019-02-07 14:53:00,1
2019-02-07 14:56:00,1
2019-02-07 14:58:00,1
2019-02-07 14:59:00,2
2019-02-07 15:00:00,1
2019-02-07 15:01:00,1
2019-02-07 15:03:00,1
2019-02-07 15:04:00,1
2019-02-07 15:05:00,1
2019-02-07 15:06:00,1
2019-02-07 15:07:00,1
2019-02-07 15:08:00,1
2019-02-11 10:42:00,1
2019-02-11 12:00:00,1
2019-02-11 12:04:00,1
2019-02-11 12:06:00,2
2019-02-11 12:41:00,1
2019-02-11 12:44:00,1
2019-02-11 12:46:00,1
2019-02-11 12:47:00,1
2019-02-11 12:49:00,1
2019-02-11 12:51:00,1
2019-02-17 12:38:00,1
2019-02-17 12:40:00,1
2019-02-17 12:41:00,1
2019-02-17 12:43:00,1
2019-02-17 12:44:00,1
2019-02-17 12:46:00,1
2019-02-17 12:47:00,1
2019-02-17 12:48:00,1
2019-02-17 12:49:00,1
2019-02-17 12:50:00,1
2019-02-17 12:51:00,1
2019-02-17 14:32:00,1
2019-02-17 14:34:00,1
2019-02-17 14:35:00,1
2019-02-25 13:24:00,2
2019-02-25 14:18:00,2
2019-06-13 23:51:00,1
2019-06-13 23:54:00,1
2019-06-17 00:38:00,1
2019-06-27 04:38:00,2
2019-06-27 04:39:00,2
2019-06-27 04:43:00,1
2019-06-27 04:47:00,1
2019-06-27 04:48:00,1
2019-06-27 04:50:00,1
2019-06-27 05:10:00,1
2019-06-27 05:13:00,2
2019-07-18 01:06:00,1
2019-12-16 12:26:00,1
2019-12-16 12:27:00,1
2019-12-16 12:54:00,1
2019-12-16 13:00:00,3
2019-12-16 13:12:00,2
2019-12-16 13:37:00,1
2019-12-16 13:43:00,1
2019-12-16 13:49:00,1
2019-12-16 17:15:00,1
2019-12-16 17:16:00,1
2019-12-16 18:04:00,1
2019-12-16 18:26:00,3
2019-12-16 18:27:00,2
2019-12-16 18:32:00,1
