10,"select top # p.objid, p.ra, p.dec from photoobj p, dbo.fgetNearByObjEq (#, #, ) n where p.objid = n.objid"
2019-02-02 17:18:00,8
2019-09-05 02:14:00,1
2019-11-12 19:37:00,1
