29,"select p.objid as name, p.ra, p.dec from photoObj p join dbo.fgetnearbyobjeq (#, #, #) n on p.objid = n.objid join specObj s on p.objid = s.bestobjid where p.petrorad_r > # and p.r < # and s.Class = # and s.z > = #"
2019-01-14 02:45:00,1
2019-01-16 04:07:00,1
2019-01-20 01:52:00,1
2019-01-20 02:02:00,1
2019-05-21 18:42:00,1
2019-05-21 18:50:00,1
2019-05-21 18:51:00,1
2019-05-21 18:53:00,1
2019-05-21 18:54:00,1
2019-05-21 19:22:00,1
2019-05-21 19:37:00,1
2019-05-21 19:39:00,1
2019-05-21 19:40:00,1
2019-05-21 19:41:00,2
2019-05-21 19:42:00,2
2019-05-21 20:05:00,1
2019-05-21 20:45:00,1
2019-05-21 20:48:00,1
2019-05-21 20:50:00,1
2019-05-21 20:51:00,1
2019-05-21 20:54:00,1
2019-05-21 20:56:00,1
2019-05-21 20:58:00,1
2019-05-23 13:15:00,1
2019-05-23 13:16:00,1
2019-05-23 13:18:00,1
2019-05-23 13:21:00,1
