34,"select top # p.objid as name, p.ra, p.dec from galaxy p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-10 23:42:00,1
2019-01-11 10:43:00,1
2019-01-14 17:47:00,1
2019-02-04 17:07:00,1
2019-03-20 14:31:00,1
2019-03-20 14:34:00,1
2019-04-11 04:11:00,1
2019-04-11 10:12:00,1
2019-04-30 19:00:00,1
2019-04-30 19:06:00,2
2019-04-30 19:07:00,1
2019-04-30 19:11:00,3
2019-04-30 19:22:00,1
2019-04-30 19:25:00,1
2019-04-30 19:29:00,1
2019-05-05 18:22:00,1
2019-06-20 03:13:00,1
2019-06-26 13:08:00,1
2019-07-04 08:17:00,1
2019-07-24 05:00:00,1
2019-07-24 05:01:00,1
2019-08-16 15:28:00,1
2019-08-24 20:26:00,1
2019-09-19 15:20:00,1
2019-10-14 23:23:00,1
2019-10-17 20:00:00,1
2019-11-28 16:45:00,1
2019-11-28 16:46:00,1
2019-11-28 16:50:00,1
2019-12-05 12:46:00,1
2019-12-14 15:05:00,1
