41,select count (*) as count
2019-01-08 08:53:00,1
2019-02-08 09:18:00,1
2019-02-28 16:07:00,1
2019-03-26 07:53:00,1
2019-03-26 07:54:00,1
2019-04-11 10:18:00,1
2019-05-01 04:10:00,1
2019-05-07 09:54:00,1
2019-05-14 18:22:00,1
2019-07-11 04:47:00,1
2019-07-11 04:49:00,1
2019-07-11 04:56:00,2
2019-07-11 04:57:00,2
2019-07-11 05:16:00,1
2019-07-11 05:18:00,1
2019-08-29 22:28:00,1
2019-08-29 22:31:00,1
2019-08-29 22:33:00,1
2019-08-29 23:31:00,1
2019-08-29 23:34:00,1
2019-10-20 02:38:00,2
2019-10-20 02:39:00,3
2019-10-20 04:38:00,1
2019-10-20 04:44:00,1
2019-10-20 05:34:00,1
2019-11-18 12:43:00,1
2019-11-18 12:44:00,1
2019-11-19 21:40:00,1
2019-11-26 17:03:00,1
2019-12-03 19:36:00,1
2019-12-03 19:48:00,1
2019-12-08 01:25:00,1
2019-12-08 01:41:00,1
2019-12-08 01:43:00,2
2019-12-22 15:38:00,1
