1780,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.i FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-06-19 17:21:00,14
2019-06-19 20:32:00,61
2019-06-19 20:35:00,86
2019-06-19 20:37:00,181
2019-06-19 20:38:00,360
2019-06-19 20:39:00,10
2019-06-19 20:56:00,141
2019-06-19 20:57:00,25
2019-06-19 20:58:00,7
2019-06-20 14:28:00,27
2019-06-20 14:29:00,94
2019-06-20 19:20:00,52
2019-06-20 19:43:00,17
2019-06-20 19:44:00,306
2019-06-20 19:45:00,283
2019-06-20 19:46:00,116
