3,"SELECT dbo.fCosmoDc (#, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT) as dist, dist-# as distmin, dist+# as distmax"
2019-02-10 17:35:00,2
2019-02-10 22:32:00,1
