44,"SELECT TOP # specObjID, bestobjid, z FROM specObj WHERE class = # AND zWarning = # AND # < = z AND z < =#"
2019-03-27 08:24:00,1
2019-03-27 08:25:00,1
2019-03-27 08:26:00,2
2019-03-27 08:27:00,3
2019-03-27 08:28:00,2
2019-03-27 08:29:00,1
2019-03-27 09:17:00,2
2019-03-27 18:15:00,1
2019-03-29 15:31:00,1
2019-03-29 15:54:00,1
2019-03-29 16:00:00,3
2019-03-30 10:56:00,1
2019-03-30 10:59:00,2
2019-03-30 11:15:00,1
2019-03-30 11:20:00,1
2019-03-30 11:22:00,1
2019-03-30 11:24:00,1
2019-03-30 11:25:00,1
2019-03-30 11:27:00,1
2019-03-30 11:28:00,1
2019-03-30 11:30:00,1
2019-03-30 11:32:00,1
2019-03-30 11:34:00,1
2019-03-30 17:14:00,1
2019-03-30 17:15:00,1
2019-03-30 17:16:00,1
2019-03-31 15:55:00,1
2019-03-31 15:56:00,2
2019-03-31 15:57:00,1
2019-03-31 15:58:00,1
2019-03-31 15:59:00,2
2019-03-31 16:00:00,2
2019-03-31 17:20:00,1
