23,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, p.dered_z as zband, s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-11-19 07:21:00,1
2019-11-19 07:49:00,1
2019-11-19 08:07:00,3
2019-11-19 08:11:00,1
2019-11-21 09:48:00,1
2019-11-22 08:55:00,1
2019-11-22 09:09:00,1
2019-11-26 09:05:00,1
2019-11-26 10:35:00,1
2019-11-26 10:38:00,1
2019-11-26 10:41:00,1
2019-11-27 05:02:00,1
2019-11-28 05:45:00,1
2019-11-28 06:19:00,1
2019-11-28 13:01:00,1
2019-11-29 03:47:00,1
2019-11-29 06:08:00,1
2019-11-29 06:59:00,1
2019-11-29 07:16:00,1
2019-11-29 07:59:00,1
2019-11-29 08:05:00,1
