3,"SELECT name, RA, DEC, MJD, redshift, CLASS_BEST, CONF_BEST, DR1#_ZWARNING FROM spiders_quasar WHERE redshift > # AND CLASS_BEST = # AND DR1#_ZWARNING = #"
2019-05-24 22:53:00,2
2019-05-27 15:50:00,1
