14,"SELECT p.ra, p.dec, f.mjd_u, p.u, p.g, p.r, p.i, p.z, p.objID, p.err_i FROM photoObj p JOIN field f ON p.fieldid = f.fieldid WHERE type = # /*AND p.psfMag_i - p.cmodelMag_i > #*/ AND f.mjd_u ! = # AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-05-30 13:07:00,1
2019-05-30 14:35:00,1
2019-05-30 14:36:00,1
2019-05-30 14:38:00,1
2019-06-01 12:32:00,2
2019-06-01 12:34:00,1
2019-06-01 12:36:00,3
2019-06-01 12:38:00,1
2019-06-02 13:42:00,1
2019-06-02 13:51:00,1
2019-06-02 14:09:00,1
