26,select * from PhotozRF where objid =
2019-02-04 18:19:00,1
2019-02-06 22:29:00,1
2019-02-07 15:51:00,1
2019-02-09 13:26:00,1
2019-02-09 15:02:00,1
2019-02-10 17:07:00,1
2019-02-10 17:33:00,1
2019-02-11 18:19:00,1
2019-02-12 15:27:00,1
2019-02-13 18:57:00,1
2019-02-13 19:09:00,1
2019-02-14 19:55:00,1
2019-03-08 20:09:00,1
2019-03-09 13:48:00,1
2019-03-11 16:44:00,1
2019-03-12 13:19:00,1
2019-03-12 18:12:00,1
2019-08-19 21:43:00,1
2019-08-21 18:12:00,1
2019-09-01 01:23:00,1
2019-09-08 00:46:00,1
2019-09-18 05:46:00,1
2019-09-19 15:38:00,1
2019-09-19 20:34:00,1
2019-09-21 06:21:00,1
2019-12-24 15:05:00,1
