2,"SELECT g.ra, g.dec, g.flags_r, g.specobjid, s.z from GALAXY as g join specobj as s on g.specobjid = s.specobjid WHERE g.ra BETWEEN # and # AND g.dec BETWEEN # and # AND ( (g.flags_r & #) ! = #) AND ( (g.flags_r & #) = #) AND ( ((g.flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((g.flags_r & #) = #) or (g.flags_r & #) = #)"
2019-09-24 11:07:00,1
2019-09-24 11:10:00,1
