4,"SELECT TOP # p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.class, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u - p.g < # AND p.g - p.r < # AND p.r - p.i > # AND p.i - p.z > #"
2019-11-24 23:12:00,2
2019-11-24 23:14:00,2
