359,"SELECT TOP # ra, dec, type from PhotoObjAll WHERE type = # AND ra BETWEEN # AND #"
2019-01-21 14:24:00,4
2019-01-21 14:25:00,8
2019-01-21 14:26:00,5
2019-01-21 14:27:00,23
2019-01-21 14:28:00,26
2019-01-21 14:29:00,24
2019-01-21 14:30:00,19
2019-01-21 14:31:00,3
2019-01-21 14:40:00,25
2019-01-21 15:32:00,39
2019-01-21 15:33:00,33
2019-01-21 15:34:00,110
2019-01-21 15:35:00,25
2019-01-21 15:36:00,15
