4,"select top # specobjid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z, z from specphoto where class = # AND z BETWEEN # and # AND zWarning = #"
2019-02-07 09:57:00,1
2019-02-07 09:59:00,1
2019-02-07 10:03:00,2
