77,"SELECT TOP # pz.objID, p.ra, p.dec, pz.z, pz.zErr, pz.photoErrorClass FROM ..Photoz as pz JOIN ..PhotoObj AS p ON pz.objID = p.objID JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = pz.objID WHERE pz.z > # AND pz.photoErrorClass = # AND pz.z < #"
2019-03-29 14:20:00,1
2019-03-29 14:50:00,2
2019-03-29 14:51:00,4
2019-03-29 14:52:00,4
2019-03-29 14:58:00,1
2019-03-29 15:05:00,1
2019-03-29 15:12:00,2
2019-03-29 15:35:00,1
2019-03-29 15:39:00,1
2019-03-29 15:41:00,2
2019-03-29 15:50:00,1
2019-03-29 15:51:00,2
2019-03-29 15:52:00,2
2019-03-29 15:53:00,3
2019-03-29 15:54:00,1
2019-03-29 15:55:00,3
2019-03-29 15:56:00,3
2019-03-29 15:57:00,2
2019-03-29 15:58:00,4
2019-03-29 15:59:00,2
2019-03-29 16:42:00,4
2019-03-29 16:43:00,4
2019-03-29 16:44:00,2
2019-03-29 16:45:00,2
2019-03-29 16:46:00,2
2019-03-29 16:47:00,1
2019-03-29 16:49:00,2
2019-03-29 16:50:00,3
2019-03-29 16:51:00,4
2019-03-29 16:52:00,5
2019-03-29 16:53:00,4
2019-03-30 07:59:00,1
2019-03-30 09:26:00,1
