37,"SELECT TOP # objID, ra , dec FROM PhotoPrimary WHERE ra > # and ra < # AND dec >"
2019-03-09 23:10:00,1
2019-11-08 18:46:00,1
2019-11-08 18:48:00,1
2019-11-08 19:31:00,1
2019-11-08 19:32:00,2
2019-11-12 14:49:00,1
2019-11-12 14:53:00,1
2019-11-12 15:06:00,1
2019-11-13 15:26:00,1
2019-11-13 15:30:00,1
2019-11-14 15:13:00,1
2019-11-14 15:17:00,2
2019-11-14 15:33:00,2
2019-11-14 15:47:00,4
2019-11-14 15:50:00,3
2019-11-14 16:01:00,1
2019-11-14 16:08:00,1
2019-11-14 16:40:00,1
2019-11-14 16:42:00,1
2019-11-14 16:43:00,1
2019-11-14 18:51:00,3
2019-11-14 18:52:00,1
2019-11-14 18:54:00,5
