99,"select p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, dbo.fGetUrlFitsCFrame (fieldid, #) , gn.distance FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq (# , # , #) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-05-08 22:08:00,5
2019-05-08 22:09:00,6
2019-05-08 23:05:00,3
2019-05-08 23:06:00,6
2019-05-14 21:15:00,3
2019-05-14 22:56:00,1
2019-05-14 23:02:00,3
2019-05-14 23:18:00,3
2019-05-15 01:51:00,3
2019-05-15 15:45:00,3
2019-05-15 17:14:00,3
2019-05-15 17:16:00,3
2019-05-15 17:20:00,3
2019-05-15 17:25:00,3
2019-05-15 20:26:00,2
2019-05-15 22:27:00,1
2019-05-15 22:30:00,2
2019-05-15 22:31:00,1
2019-05-15 23:00:00,3
2019-05-15 23:01:00,3
2019-05-15 23:02:00,2
2019-05-15 23:03:00,1
2019-05-15 23:26:00,1
2019-05-15 23:31:00,3
2019-05-16 02:15:00,3
2019-05-22 16:47:00,1
2019-05-22 16:49:00,3
2019-05-22 16:50:00,3
2019-05-22 16:51:00,1
2019-06-04 18:15:00,3
2019-06-04 23:59:00,1
2019-06-05 00:00:00,2
2019-06-13 02:58:00,1
2019-06-13 02:59:00,2
2019-06-13 16:22:00,2
2019-06-13 16:23:00,1
2019-06-13 16:25:00,1
2019-06-13 16:26:00,2
2019-06-13 16:28:00,2
2019-06-13 16:29:00,1
2019-06-13 17:25:00,3
