2,"select top # a.Plate, gn.distance into mydb.MyTable from webuser.bestheckmanagn as a join dbo.fGetNearbyObjEq (#., #, #) as gn on a.Plate = gn.objID"
2019-04-03 06:25:00,1
2019-04-03 06:26:00,1
