956,"SELECT class, count (*) FROM SpecObj GROUP BY class"
2019-01-01 08:58:00,1
2019-01-01 11:11:00,1
2019-01-02 00:20:00,1
2019-01-02 00:50:00,1
2019-01-02 00:54:00,1
2019-01-03 11:07:00,1
2019-01-03 12:15:00,1
2019-01-03 13:35:00,1
2019-01-04 16:37:00,1
2019-01-04 22:12:00,1
2019-01-05 07:22:00,1
2019-01-05 11:34:00,1
2019-01-05 15:20:00,1
2019-01-06 12:42:00,1
2019-01-07 00:12:00,1
2019-01-07 23:34:00,1
2019-01-07 23:52:00,1
2019-01-08 03:01:00,1
2019-01-08 03:31:00,1
2019-01-08 05:24:00,1
2019-01-08 06:28:00,1
2019-01-08 07:28:00,1
2019-01-08 08:42:00,1
2019-01-08 10:35:00,1
2019-01-09 09:12:00,1
2019-01-10 02:12:00,1
2019-01-10 21:56:00,1
2019-01-11 04:46:00,1
2019-01-11 05:19:00,1
2019-01-12 03:21:00,1
2019-01-12 09:02:00,1
2019-01-13 08:32:00,1
2019-01-13 09:12:00,1
2019-01-14 11:12:00,1
2019-01-16 12:18:00,1
2019-01-17 04:25:00,1
2019-01-17 22:56:00,1
2019-01-19 17:01:00,1
2019-01-19 20:46:00,1
2019-01-20 18:20:00,1
2019-01-22 08:13:00,1
2019-01-22 08:30:00,1
2019-01-22 13:07:00,1
2019-01-22 21:08:00,1
2019-01-23 23:29:00,1
2019-01-24 12:37:00,1
2019-01-25 11:11:00,1
2019-01-25 12:48:00,1
2019-01-25 15:59:00,1
2019-01-25 16:55:00,1
2019-01-26 10:31:00,1
2019-01-26 19:55:00,1
2019-01-27 09:41:00,1
2019-01-27 21:35:00,1
2019-01-28 13:04:00,1
2019-01-28 13:53:00,1
2019-01-29 00:40:00,1
2019-01-30 09:33:00,1
2019-01-30 15:40:00,2
2019-01-30 21:04:00,1
2019-01-30 21:30:00,1
2019-01-31 06:02:00,1
2019-02-01 07:24:00,1
2019-02-01 12:35:00,1
2019-02-01 21:12:00,1
2019-02-02 07:07:00,1
2019-02-02 07:38:00,1
2019-02-02 14:33:00,1
2019-02-04 13:41:00,1
2019-02-04 14:14:00,1
2019-02-04 14:44:00,1
2019-02-04 19:29:00,1
2019-02-05 04:13:00,1
2019-02-08 01:33:00,1
2019-02-08 04:20:00,1
2019-02-08 16:50:00,1
2019-02-08 18:14:00,1
2019-02-08 22:20:00,1
2019-02-09 17:36:00,1
2019-02-09 17:38:00,1
2019-02-10 05:55:00,1
2019-02-10 09:46:00,1
2019-02-11 02:47:00,1
2019-02-11 10:37:00,1
2019-02-11 11:16:00,1
2019-02-11 20:47:00,1
2019-02-11 21:31:00,1
2019-02-11 22:29:00,1
2019-02-11 23:06:00,1
2019-02-12 04:01:00,1
2019-02-12 15:11:00,1
2019-02-12 18:44:00,1
2019-02-12 19:01:00,1
2019-02-12 21:42:00,1
2019-02-13 12:19:00,1
2019-02-14 09:48:00,1
2019-02-14 12:13:00,1
2019-02-14 12:14:00,1
2019-02-14 18:53:00,1
2019-02-15 04:17:00,1
2019-02-16 02:22:00,1
2019-02-17 03:46:00,1
2019-02-17 03:47:00,1
2019-02-17 09:04:00,1
2019-02-17 10:39:00,1
2019-02-17 15:30:00,1
2019-02-18 00:08:00,1
2019-02-18 03:09:00,1
2019-02-18 23:18:00,1
2019-02-19 05:33:00,1
2019-02-20 21:28:00,1
2019-02-21 06:36:00,1
2019-02-21 12:59:00,1
2019-02-21 15:38:00,1
2019-02-22 01:06:00,1
2019-02-22 06:27:00,1
2019-02-23 02:15:00,1
2019-02-23 03:35:00,1
2019-02-23 21:24:00,1
2019-02-24 11:53:00,1
2019-02-25 07:33:00,1
2019-02-25 14:36:00,1
2019-02-25 18:01:00,1
2019-02-26 01:21:00,1
2019-02-26 14:41:00,1
2019-02-26 17:01:00,1
2019-02-27 05:51:00,1
2019-02-27 09:07:00,1
2019-02-27 19:52:00,1
2019-02-27 22:34:00,1
2019-02-28 01:45:00,1
2019-02-28 03:36:00,1
2019-02-28 07:58:00,1
2019-02-28 14:48:00,1
2019-02-28 17:33:00,1
2019-03-01 01:10:00,1
2019-03-01 01:34:00,1
2019-03-01 02:07:00,1
2019-03-01 03:27:00,1
2019-03-01 10:06:00,1
2019-03-01 13:00:00,1
2019-03-01 18:25:00,1
2019-03-01 21:14:00,1
2019-03-01 22:36:00,1
2019-03-02 02:12:00,1
2019-03-02 02:49:00,1
2019-03-02 22:42:00,1
2019-03-03 02:19:00,1
2019-03-03 08:53:00,1
2019-03-04 18:33:00,1
2019-03-04 22:48:00,1
2019-03-05 07:36:00,1
2019-03-05 08:56:00,1
2019-03-05 21:30:00,1
2019-03-06 07:31:00,1
2019-03-06 13:52:00,1
2019-03-06 15:51:00,1
2019-03-06 20:56:00,1
2019-03-06 23:53:00,1
2019-03-07 11:00:00,1
2019-03-07 13:17:00,1
2019-03-07 23:25:00,1
2019-03-08 06:31:00,1
2019-03-08 11:09:00,1
2019-03-08 14:26:00,1
2019-03-08 18:17:00,1
2019-03-08 20:36:00,1
2019-03-08 21:47:00,1
2019-03-08 22:30:00,1
2019-03-09 02:00:00,1
2019-03-10 01:46:00,1
2019-03-10 17:01:00,1
2019-03-10 18:13:00,1
2019-03-11 02:13:00,1
2019-03-11 07:52:00,1
2019-03-11 16:43:00,1
2019-03-12 07:17:00,1
2019-03-12 20:01:00,1
2019-03-12 23:34:00,1
2019-03-13 02:52:00,1
2019-03-13 05:02:00,1
2019-03-13 14:09:00,1
2019-03-14 09:44:00,1
2019-03-14 10:17:00,1
2019-03-15 01:29:00,1
2019-03-15 03:06:00,1
2019-03-15 03:54:00,1
2019-03-15 17:38:00,1
2019-03-15 20:20:00,1
2019-03-16 02:10:00,1
2019-03-16 07:57:00,1
2019-03-16 11:31:00,1
2019-03-16 16:13:00,1
2019-03-16 16:23:00,1
2019-03-17 19:03:00,1
2019-03-17 21:52:00,1
2019-03-19 02:46:00,1
2019-03-19 13:51:00,2
2019-03-19 17:34:00,1
2019-03-19 20:47:00,1
2019-03-19 20:49:00,1
2019-03-20 13:03:00,1
2019-03-21 16:41:00,1
2019-03-22 03:21:00,1
2019-03-23 06:18:00,1
2019-03-23 16:19:00,1
2019-03-24 02:44:00,1
2019-03-24 18:32:00,1
2019-03-25 01:27:00,1
2019-03-25 04:58:00,1
2019-03-25 05:07:00,1
2019-03-25 08:47:00,1
2019-03-25 09:28:00,1
2019-03-25 10:29:00,1
2019-03-25 10:44:00,1
2019-03-25 11:27:00,1
2019-03-25 21:56:00,1
2019-03-26 08:57:00,1
2019-03-26 09:58:00,1
2019-03-26 19:56:00,1
2019-03-26 20:32:00,1
2019-03-26 20:59:00,1
2019-03-27 19:00:00,1
2019-03-27 23:28:00,1
2019-03-28 13:52:00,1
2019-03-28 16:18:00,1
2019-03-28 17:53:00,1
2019-03-28 18:08:00,1
2019-03-28 18:10:00,1
2019-03-28 18:53:00,1
2019-03-28 20:01:00,1
2019-03-28 22:15:00,1
2019-03-29 17:21:00,1
2019-03-29 23:54:00,1
2019-03-30 09:01:00,1
2019-03-31 12:47:00,1
2019-03-31 20:08:00,1
2019-04-01 06:25:00,1
2019-04-01 18:26:00,1
2019-04-01 19:19:00,1
2019-04-01 20:24:00,1
2019-04-01 21:51:00,1
2019-04-01 22:21:00,1
2019-04-02 10:01:00,1
2019-04-02 16:21:00,1
2019-04-03 15:38:00,1
