3,"select p.objid, p.ra, p.dec, s.z as redshift, s.specobjid from photoobj p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND #"
2019-12-20 08:21:00,1
2019-12-20 08:22:00,1
2019-12-20 08:23:00,1
