548,"SELECT TOP # photoobj.run, photoobj.camcol, photoobj.field, photoobj.obj, photoobj.psfmag_u, photoobj.psfmag_g, photoobj.psfmag_r, photoobj.psfmag_i, photoobj.psfmag_z, photoobj.ra as photoobj_ra, photoobj.dec as photoobj_dec, star.apstar_id, star.ra as star_ra, star.dec as star_dec, aspcap.teff, aspcap.param_m_h, aspcap.logg FROM apogeeStar AS star CROSS APPLY dbo.fGetNearestObjEq (star.ra, star.dec, #) AS near JOIN photoobj ON near.objid = photoobj.objid JOIN aspcapStar as aspcap ON star.apstar_id = aspcap.apstar_id WHERE star.glat > #. and aspcap.teff > #"
2019-01-01 11:09:00,1
2019-01-02 00:20:00,1
2019-01-02 00:49:00,1
2019-01-03 11:19:00,1
2019-01-03 15:31:00,1
2019-01-03 18:33:00,1
2019-01-05 11:32:00,1
2019-01-06 12:42:00,1
2019-01-07 00:11:00,1
2019-01-08 02:51:00,1
2019-01-08 04:34:00,1
2019-01-08 06:28:00,1
2019-01-08 07:28:00,1
2019-01-08 18:12:00,1
2019-01-09 07:17:00,1
2019-01-10 02:44:00,1
2019-01-11 04:44:00,1
2019-01-11 10:04:00,1
2019-01-12 03:19:00,1
2019-01-13 08:31:00,1
2019-01-13 09:11:00,1
2019-01-14 11:51:00,1
2019-01-16 00:07:00,1
2019-01-19 03:06:00,1
2019-01-19 17:01:00,1
2019-01-19 20:43:00,1
2019-01-21 23:21:00,1
2019-01-22 08:28:00,1
2019-01-22 16:10:00,1
2019-01-23 04:19:00,1
2019-01-23 22:00:00,1
2019-01-23 23:27:00,1
2019-01-24 13:39:00,1
2019-01-25 15:58:00,1
2019-01-26 23:16:00,1
2019-01-27 21:13:00,1
2019-01-28 16:50:00,1
2019-01-29 16:04:00,1
2019-01-30 09:31:00,1
2019-01-30 19:02:00,1
2019-01-30 19:04:00,4
2019-01-30 19:06:00,9
2019-01-31 02:04:00,1
2019-02-01 13:13:00,1
2019-02-02 00:19:00,1
2019-02-02 13:53:00,1
2019-02-04 13:41:00,1
2019-02-04 14:12:00,1
2019-02-04 14:43:00,1
