2,"select TOP # specObjID, class, subClass, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, z from SpecPhoto where modelMag_r < # AND z > = # AND class = # AND zWarning = # order by z"
2019-04-04 02:52:00,1
2019-04-28 02:45:00,1
