262,select objid from photoprimary where photoprimary.dec between -.# and # and photoprimary.ra between # and #
2019-02-28 11:37:00,1
2019-02-28 11:39:00,1
2019-03-02 02:59:00,1
2019-03-02 03:44:00,1
2019-03-02 03:46:00,1
2019-03-02 04:17:00,1
2019-03-02 06:45:00,1
2019-03-02 06:55:00,2
2019-03-02 06:56:00,2
2019-03-02 06:57:00,1
2019-03-02 06:58:00,2
2019-03-02 07:12:00,1
2019-03-02 07:17:00,3
2019-03-02 07:18:00,2
2019-03-02 07:19:00,1
2019-03-02 07:21:00,1
2019-03-02 07:22:00,2
2019-03-02 07:23:00,1
2019-03-02 07:24:00,3
2019-03-02 07:25:00,2
2019-03-02 07:26:00,1
2019-03-02 07:30:00,1
2019-03-02 07:31:00,2
2019-03-02 07:32:00,2
2019-03-02 07:33:00,2
2019-03-02 07:34:00,1
2019-03-02 07:35:00,2
2019-03-02 07:36:00,1
2019-03-02 07:37:00,2
2019-03-02 07:38:00,1
2019-03-02 07:41:00,1
2019-03-02 07:42:00,1
2019-03-02 07:43:00,1
2019-03-04 17:36:00,5
2019-03-04 17:37:00,3
2019-03-04 17:38:00,5
2019-03-04 17:39:00,2
2019-03-04 17:40:00,2
2019-03-04 17:41:00,2
2019-03-04 17:43:00,1
2019-03-04 17:44:00,2
2019-03-04 17:45:00,2
2019-03-04 17:46:00,2
2019-03-04 17:47:00,1
2019-03-04 17:48:00,1
2019-03-04 20:06:00,3
2019-03-04 20:07:00,3
2019-03-04 20:09:00,2
2019-03-04 20:10:00,2
2019-03-04 20:12:00,1
2019-03-04 20:13:00,1
2019-03-04 20:14:00,2
2019-03-04 20:15:00,1
2019-03-04 20:16:00,1
2019-03-04 20:22:00,1
2019-03-04 20:23:00,1
2019-03-04 20:24:00,3
2019-03-04 20:25:00,1
2019-03-04 20:26:00,1
2019-03-04 20:27:00,1
2019-03-04 20:28:00,1
2019-03-04 23:05:00,1
2019-03-05 18:32:00,6
2019-03-05 18:37:00,1
2019-03-05 18:54:00,1
2019-03-05 19:19:00,1
2019-03-05 19:38:00,1
2019-03-05 20:26:00,1
2019-03-05 20:36:00,4
2019-03-05 20:42:00,2
2019-03-05 20:46:00,2
2019-03-05 20:56:00,1
2019-03-05 21:01:00,1
2019-03-05 21:07:00,1
2019-03-06 04:21:00,1
2019-03-06 14:23:00,1
2019-03-06 16:55:00,1
2019-03-07 14:51:00,1
2019-03-07 14:52:00,1
2019-03-07 14:56:00,1
2019-03-07 14:59:00,1
2019-03-07 15:06:00,1
2019-03-07 15:46:00,1
2019-03-14 06:47:00,4
2019-03-14 06:48:00,24
2019-03-14 06:49:00,21
2019-03-14 06:50:00,45
2019-03-14 06:57:00,18
2019-03-14 06:58:00,4
2019-03-14 08:21:00,2
2019-03-14 08:45:00,3
2019-03-14 09:11:00,2
2019-03-14 09:12:00,1
2019-03-14 09:18:00,3
2019-03-14 09:19:00,1
2019-03-14 09:30:00,1
