277,"SELECT TOP # objId, z, zErr, absMagR FROM Photoz WHERE z BETWEEN # and # and nnIsInside = # and nnCount> # and zErr BETWEEN # and #"
2019-01-01 01:23:00,1
2019-01-05 08:54:00,1
2019-01-05 18:32:00,1
2019-01-07 23:32:00,1
2019-01-08 08:42:00,1
2019-01-10 22:45:00,1
2019-01-17 05:13:00,1
2019-01-20 04:26:00,1
2019-01-20 19:13:00,1
2019-01-22 09:05:00,1
2019-01-25 12:14:00,1
2019-01-25 17:35:00,1
2019-01-26 13:33:00,1
2019-01-29 01:13:00,1
2019-02-08 05:15:00,1
2019-02-08 17:43:00,1
2019-02-10 20:46:00,1
2019-02-11 11:02:00,1
2019-02-11 22:20:00,1
2019-02-11 23:19:00,1
2019-02-19 00:11:00,1
2019-02-19 00:29:00,1
2019-02-22 09:10:00,1
2019-02-23 17:58:00,1
2019-02-25 21:17:00,1
2019-02-25 21:19:00,1
2019-02-25 21:20:00,1
2019-03-01 22:05:00,1
2019-03-06 06:56:00,1
2019-03-08 14:25:00,1
2019-03-08 20:43:00,1
2019-03-09 21:01:00,1
2019-03-10 02:46:00,1
2019-03-10 14:40:00,1
2019-03-11 03:12:00,1
2019-03-11 11:14:00,1
2019-03-11 15:01:00,1
2019-03-11 17:20:00,1
2019-03-12 02:04:00,1
2019-03-12 07:28:00,1
2019-03-15 12:26:00,1
2019-03-18 00:38:00,1
2019-03-20 04:53:00,1
2019-03-21 21:02:00,1
2019-03-24 21:53:00,1
2019-03-25 06:06:00,1
2019-03-25 10:25:00,1
2019-03-26 08:36:00,1
2019-03-28 00:00:00,1
2019-03-28 18:41:00,1
2019-03-28 23:22:00,1
2019-03-29 00:36:00,1
2019-03-30 00:46:00,1
2019-03-30 01:02:00,1
2019-03-30 09:56:00,1
2019-03-31 21:21:00,1
2019-04-01 03:36:00,1
2019-04-01 10:23:00,1
2019-04-01 20:12:00,1
2019-04-01 20:54:00,1
2019-04-03 15:46:00,1
2019-04-04 12:01:00,1
2019-04-05 07:58:00,1
2019-04-08 08:18:00,1
2019-04-09 20:17:00,2
2019-04-09 20:18:00,2
2019-04-13 15:45:00,1
2019-04-16 07:49:00,1
2019-04-18 14:46:00,1
2019-04-19 01:27:00,1
2019-04-20 06:46:00,1
2019-04-20 21:22:00,1
2019-04-21 22:51:00,1
2019-04-26 01:54:00,1
2019-04-27 00:21:00,1
2019-04-27 16:56:00,1
2019-05-06 07:55:00,1
2019-05-06 08:50:00,1
2019-05-06 10:03:00,1
2019-05-09 18:22:00,1
2019-05-11 06:13:00,1
2019-05-11 07:43:00,1
2019-05-13 00:19:00,1
2019-05-14 22:10:00,1
2019-05-15 20:10:00,1
2019-05-15 20:34:00,1
2019-05-15 23:12:00,1
2019-05-17 05:25:00,1
2019-05-17 14:14:00,1
2019-05-19 11:18:00,1
2019-05-20 18:15:00,1
2019-05-20 19:31:00,1
2019-05-22 09:34:00,1
2019-05-22 09:35:00,1
2019-05-22 09:36:00,1
2019-05-23 13:15:00,1
2019-05-24 20:01:00,1
2019-05-24 21:23:00,1
2019-05-29 04:46:00,1
2019-05-29 13:05:00,1
2019-05-30 16:54:00,1
2019-05-31 20:15:00,1
2019-06-05 06:45:00,1
2019-06-05 18:37:00,1
2019-06-06 08:17:00,1
2019-06-07 15:22:00,1
2019-06-11 00:58:00,1
2019-06-11 01:56:00,1
2019-06-11 02:52:00,1
2019-06-12 00:45:00,1
2019-06-14 08:15:00,1
2019-06-15 12:26:00,1
2019-06-16 17:51:00,1
2019-06-19 04:55:00,1
2019-06-21 04:15:00,1
2019-06-23 16:43:00,1
2019-06-23 17:59:00,1
2019-06-24 12:51:00,1
2019-06-24 20:25:00,1
2019-06-24 23:40:00,1
2019-06-25 09:45:00,1
2019-06-28 04:33:00,1
2019-06-28 13:13:00,1
2019-07-04 03:42:00,1
2019-07-05 13:29:00,1
2019-07-06 01:57:00,1
2019-07-08 05:42:00,1
2019-07-08 13:46:00,1
2019-07-08 17:56:00,1
2019-07-12 03:31:00,1
2019-07-12 11:03:00,1
2019-07-12 21:52:00,1
2019-07-13 05:02:00,1
2019-07-15 15:56:00,1
2019-07-16 22:41:00,1
2019-07-21 03:24:00,1
2019-07-24 13:17:00,1
2019-07-28 08:45:00,1
2019-07-29 04:07:00,1
2019-07-29 07:27:00,1
2019-07-31 01:49:00,1
2019-08-04 21:45:00,1
2019-08-05 04:31:00,1
2019-08-05 15:21:00,1
2019-08-05 21:16:00,1
2019-08-20 12:48:00,1
2019-08-24 05:41:00,1
2019-08-25 17:35:00,1
2019-08-26 21:19:00,1
2019-08-30 05:30:00,1
2019-08-30 14:01:00,1
2019-09-01 05:18:00,1
2019-09-01 08:44:00,1
2019-09-01 17:13:00,1
2019-09-02 18:19:00,1
2019-09-05 23:54:00,1
2019-09-07 17:41:00,1
2019-09-07 18:38:00,1
2019-09-12 07:43:00,1
2019-09-12 09:11:00,1
2019-09-16 13:38:00,1
2019-09-17 03:15:00,1
2019-09-17 05:31:00,1
2019-09-17 13:54:00,1
2019-09-18 14:15:00,1
2019-09-18 14:26:00,1
2019-09-22 04:43:00,1
2019-09-23 05:04:00,1
2019-09-23 05:59:00,1
2019-09-25 07:06:00,1
2019-09-26 01:43:00,1
2019-09-26 05:08:00,1
2019-09-26 06:19:00,1
2019-09-26 19:36:00,1
2019-09-27 15:09:00,1
2019-09-29 18:32:00,1
2019-09-29 22:30:00,1
2019-09-29 23:42:00,1
2019-09-30 03:18:00,1
2019-09-30 11:17:00,1
2019-10-01 20:40:00,1
2019-10-02 09:53:00,1
2019-10-02 14:06:00,1
2019-10-03 20:00:00,1
2019-10-03 20:14:00,1
2019-10-03 20:17:00,1
2019-10-03 21:44:00,1
2019-10-04 17:25:00,1
2019-10-05 00:53:00,1
2019-10-07 07:25:00,1
2019-10-08 02:20:00,1
2019-10-08 03:41:00,1
2019-10-09 11:52:00,1
2019-10-12 01:47:00,1
2019-10-13 01:58:00,1
2019-10-13 13:01:00,1
2019-10-16 13:52:00,1
2019-10-18 22:09:00,1
2019-10-19 05:32:00,1
2019-10-20 04:23:00,1
2019-10-21 12:52:00,1
2019-10-22 20:03:00,1
2019-10-22 21:01:00,1
2019-10-22 21:12:00,1
2019-10-22 21:33:00,1
2019-10-23 00:03:00,1
2019-10-23 00:56:00,1
2019-10-24 01:18:00,1
2019-10-24 12:10:00,1
2019-10-24 13:53:00,2
2019-10-24 15:21:00,1
2019-10-25 06:14:00,1
2019-10-27 02:55:00,1
2019-10-29 13:05:00,1
2019-10-29 14:29:00,1
2019-10-29 17:56:00,1
2019-10-30 10:46:00,1
2019-11-03 03:21:00,1
2019-11-07 07:05:00,1
2019-11-10 02:07:00,1
2019-11-10 14:19:00,1
2019-11-10 18:08:00,1
2019-11-11 23:34:00,2
2019-11-11 23:35:00,1
2019-11-11 23:37:00,1
2019-11-13 05:36:00,1
2019-11-13 18:28:00,1
2019-11-13 19:16:00,1
2019-11-14 11:01:00,1
2019-11-17 07:59:00,1
2019-11-19 18:17:00,1
2019-11-19 19:22:00,1
2019-11-23 06:27:00,1
2019-11-29 11:29:00,1
2019-12-02 15:47:00,1
2019-12-02 23:57:00,1
2019-12-04 08:33:00,1
2019-12-04 09:24:00,1
2019-12-05 00:03:00,1
2019-12-05 00:15:00,1
2019-12-05 01:05:00,1
2019-12-05 01:52:00,1
2019-12-05 03:00:00,1
2019-12-05 05:12:00,1
2019-12-05 11:47:00,1
2019-12-06 13:23:00,1
2019-12-06 20:32:00,1
2019-12-06 23:50:00,2
2019-12-07 09:15:00,1
2019-12-07 12:12:00,1
2019-12-07 21:12:00,1
2019-12-08 02:25:00,1
2019-12-08 06:04:00,1
2019-12-08 14:51:00,1
2019-12-08 23:48:00,1
2019-12-09 07:10:00,1
2019-12-09 07:21:00,1
2019-12-09 08:58:00,1
2019-12-10 16:03:00,1
2019-12-18 10:02:00,1
2019-12-18 10:56:00,1
2019-12-18 13:59:00,1
2019-12-19 20:11:00,1
2019-12-21 05:48:00,1
2019-12-22 14:07:00,1
2019-12-23 08:52:00,1
2019-12-25 02:17:00,1
2019-12-27 18:19:00,1
2019-12-29 06:54:00,1
2019-12-29 13:45:00,1
2019-12-30 06:09:00,1
2019-12-30 06:59:00,1
