2,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid, s.plate, s.mjd, s.fiberid from galaxy p, specobj s where p.objid = s.bestobjid and (p.u-p.r BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-10-01 01:03:00,1
2019-10-01 01:11:00,1
