33,"SELECT u.up_col0 as [col0], p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID ORDER BY x.up_id"
2019-01-20 14:16:00,1
2019-01-20 14:24:00,1
2019-01-20 16:12:00,1
2019-02-11 20:22:00,1
2019-02-17 20:46:00,1
2019-02-17 21:03:00,1
2019-02-20 17:15:00,1
2019-02-24 02:04:00,1
2019-02-28 22:39:00,1
2019-03-02 19:58:00,1
2019-03-02 20:01:00,1
2019-03-03 02:41:00,1
2019-03-03 02:57:00,1
2019-03-03 03:02:00,1
2019-03-03 03:09:00,1
2019-03-03 03:27:00,1
2019-03-03 03:31:00,1
2019-03-03 17:46:00,1
2019-03-03 17:48:00,1
2019-03-03 17:49:00,1
2019-03-03 17:50:00,1
2019-03-03 22:05:00,1
2019-03-04 03:09:00,1
2019-03-04 18:10:00,1
2019-03-04 18:29:00,1
2019-04-16 14:13:00,1
2019-04-17 05:51:00,1
2019-06-19 20:00:00,1
2019-06-19 20:01:00,1
2019-06-20 20:24:00,2
2019-07-10 17:55:00,1
2019-08-14 05:57:00,1
