5965,"SELECT DISTINCT p.objID, p.ra, p.dec, p.u, p.g, p.r, p.i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-19 12:42:00,10
2019-02-19 12:45:00,53
2019-02-19 12:46:00,125
2019-02-19 12:47:00,118
2019-02-19 12:48:00,110
2019-02-19 12:49:00,100
2019-02-19 12:50:00,97
2019-02-19 12:51:00,94
2019-02-19 12:52:00,95
2019-02-19 12:53:00,91
2019-02-19 12:54:00,90
2019-02-19 12:55:00,86
2019-02-19 12:56:00,118
2019-02-19 12:57:00,136
2019-02-19 12:58:00,160
2019-02-19 12:59:00,179
2019-02-19 13:00:00,184
2019-02-19 13:01:00,183
2019-02-19 13:02:00,167
2019-02-19 13:03:00,163
2019-02-19 13:04:00,172
2019-02-19 13:05:00,180
2019-02-19 13:06:00,185
2019-02-19 13:07:00,187
2019-02-19 13:08:00,201
2019-02-19 13:09:00,210
2019-02-19 13:10:00,217
2019-02-19 13:11:00,213
2019-02-19 13:12:00,212
2019-02-19 13:13:00,214
2019-02-19 13:14:00,173
2019-02-19 13:15:00,190
2019-02-19 13:16:00,138
2019-02-19 16:34:00,2
2019-02-19 16:51:00,18
2019-02-19 16:54:00,23
2019-02-19 16:55:00,100
2019-02-19 16:56:00,104
2019-02-19 16:57:00,99
2019-02-19 16:58:00,94
2019-02-19 16:59:00,91
2019-02-19 17:00:00,101
2019-02-19 17:01:00,96
2019-02-19 17:02:00,110
2019-02-19 17:03:00,106
2019-02-19 17:04:00,63
2019-02-19 17:05:00,70
2019-02-19 17:06:00,37
