5,"SELECT TOP # s.ra, s.dec, p.objid, s.specobjid FROM SpecObj AS s JOIN PhotoPrimary AS p ON s.specobjid = p.objid WHERE s.class = # AND p.clean = #"
2019-01-17 09:24:00,2
2019-01-17 09:25:00,1
2019-01-17 09:26:00,1
2019-01-17 09:28:00,1
