3,"select p.objid, p.ra, p.dec from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid and (p.r BETWEEN # AND #)"
2019-04-18 01:13:00,2
2019-12-19 17:19:00,1
