1677,"SELECT top # p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect (#, #, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-01 11:00:00,1
2019-01-01 15:37:00,1
2019-01-01 17:41:00,1
2019-01-02 13:29:00,1
2019-01-02 17:08:00,1
2019-01-03 09:55:00,1
2019-01-03 13:19:00,1
2019-01-03 13:44:00,1
2019-01-04 03:11:00,1
2019-01-04 05:20:00,1
2019-01-05 16:11:00,1
2019-01-05 17:00:00,1
2019-01-06 00:01:00,1
2019-01-06 07:40:00,1
2019-01-07 06:59:00,1
2019-01-07 08:11:00,1
2019-01-07 11:22:00,1
2019-01-07 20:50:00,1
2019-01-08 14:20:00,1
2019-01-08 18:52:00,1
2019-01-09 05:41:00,1
2019-01-09 16:07:00,1
2019-01-09 20:13:00,1
2019-01-09 20:55:00,1
2019-01-09 21:36:00,1
2019-01-09 22:38:00,1
2019-01-10 04:03:00,1
2019-01-10 07:49:00,1
2019-01-11 03:19:00,1
2019-01-11 05:26:00,1
2019-01-12 14:36:00,1
2019-01-13 00:09:00,1
2019-01-13 03:11:00,1
2019-01-13 08:11:00,1
2019-01-13 15:41:00,1
2019-01-14 03:27:00,1
2019-01-14 16:00:00,1
2019-01-14 17:30:00,1
2019-01-15 02:05:00,1
2019-01-15 14:14:00,1
2019-01-15 14:55:00,1
2019-01-16 06:53:00,1
2019-01-16 08:29:00,1
2019-01-16 10:39:00,1
2019-01-16 10:46:00,1
2019-01-16 13:17:00,1
2019-01-16 19:58:00,1
2019-01-17 00:21:00,1
2019-01-17 01:47:00,1
2019-01-17 08:38:00,1
2019-01-17 11:33:00,1
2019-01-17 16:44:00,1
2019-01-18 02:22:00,1
2019-01-18 12:17:00,1
2019-01-18 12:29:00,1
2019-01-18 17:01:00,1
2019-01-18 20:21:00,1
2019-01-19 04:58:00,1
2019-01-20 14:55:00,1
2019-01-20 19:49:00,1
2019-01-21 01:01:00,1
2019-01-21 01:16:00,1
2019-01-21 06:41:00,1
2019-01-21 16:52:00,1
2019-01-21 22:19:00,1
2019-01-22 13:31:00,1
2019-01-23 11:16:00,1
2019-01-23 18:01:00,1
2019-01-23 21:45:00,1
2019-01-23 23:59:00,1
2019-01-24 04:58:00,1
2019-01-24 20:15:00,1
2019-01-25 17:49:00,1
2019-01-25 20:40:00,1
2019-01-26 00:16:00,1
2019-01-26 08:51:00,1
2019-01-26 12:10:00,1
2019-01-27 00:33:00,1
2019-01-27 00:58:00,1
2019-01-27 07:37:00,1
2019-01-27 14:14:00,1
2019-01-27 23:26:00,1
2019-01-28 03:19:00,1
2019-01-28 05:40:00,1
2019-01-28 13:47:00,1
2019-01-28 18:20:00,1
2019-01-28 19:53:00,1
2019-01-29 03:46:00,1
2019-01-29 05:22:00,1
2019-01-29 12:10:00,1
2019-01-29 13:40:00,1
2019-01-30 12:36:00,1
2019-01-30 23:05:00,1
2019-01-31 08:33:00,1
2019-01-31 17:21:00,1
2019-01-31 20:32:00,1
2019-02-01 01:29:00,1
2019-02-01 01:37:00,1
2019-02-01 08:51:00,1
2019-02-01 10:50:00,1
2019-02-01 20:20:00,1
2019-02-01 21:23:00,1
2019-02-01 22:48:00,1
2019-02-03 01:26:00,1
2019-02-03 08:27:00,1
2019-02-03 12:38:00,1
2019-02-03 16:32:00,1
2019-02-03 19:56:00,1
2019-02-03 19:58:00,1
2019-02-03 21:23:00,1
2019-02-04 01:55:00,1
2019-02-04 10:42:00,1
2019-02-04 16:52:00,1
2019-02-04 19:13:00,1
2019-02-04 21:16:00,1
2019-02-04 23:28:00,1
2019-02-05 18:18:00,1
2019-02-05 18:44:00,1
2019-02-05 18:49:00,1
2019-02-06 03:14:00,1
2019-02-06 03:42:00,1
2019-02-06 10:46:00,1
2019-02-06 12:00:00,1
2019-02-06 15:45:00,1
2019-02-06 23:01:00,1
2019-02-07 00:08:00,1
2019-02-07 00:44:00,1
2019-02-07 00:59:00,1
2019-02-07 02:55:00,1
2019-02-07 02:57:00,1
2019-02-07 03:07:00,1
2019-02-07 03:30:00,1
2019-02-07 04:49:00,1
2019-02-07 05:07:00,1
2019-02-07 15:10:00,1
2019-02-08 08:13:00,1
2019-02-09 20:51:00,1
2019-02-10 09:30:00,1
2019-02-10 19:17:00,1
2019-02-11 01:56:00,1
2019-02-11 07:55:00,1
2019-02-11 10:37:00,1
2019-02-11 11:57:00,1
2019-02-11 18:08:00,1
2019-02-11 22:13:00,1
2019-02-12 07:07:00,1
2019-02-13 02:47:00,1
2019-02-13 04:34:00,1
2019-02-13 09:25:00,1
2019-02-13 12:10:00,1
2019-02-13 21:31:00,1
2019-02-13 21:42:00,1
2019-02-13 21:51:00,1
2019-02-14 08:33:00,1
2019-02-14 13:28:00,1
2019-02-15 06:23:00,1
2019-02-15 15:07:00,1
2019-02-15 15:10:00,1
2019-02-15 20:26:00,1
2019-02-16 09:33:00,1
2019-02-16 13:13:00,1
2019-02-16 14:04:00,1
2019-02-16 17:14:00,1
2019-02-17 10:57:00,1
2019-02-18 05:38:00,1
2019-02-18 16:48:00,1
2019-02-19 00:05:00,1
2019-02-19 01:54:00,1
2019-02-19 04:03:00,1
2019-02-19 04:36:00,1
2019-02-19 04:53:00,1
2019-02-19 08:17:00,1
2019-02-19 21:48:00,1
2019-02-20 08:26:00,1
2019-02-20 12:26:00,1
2019-02-20 22:03:00,1
2019-02-20 22:20:00,1
2019-02-21 03:55:00,1
2019-02-21 06:26:00,1
2019-02-21 06:30:00,1
2019-02-21 06:52:00,1
2019-02-21 07:04:00,1
2019-02-21 07:32:00,1
2019-02-21 07:36:00,1
2019-02-21 12:14:00,1
2019-02-21 13:19:00,1
2019-02-21 18:09:00,1
2019-02-21 23:14:00,1
2019-02-22 00:40:00,1
2019-02-22 01:17:00,1
2019-02-22 02:56:00,1
2019-02-22 05:55:00,1
2019-02-22 06:09:00,1
2019-02-22 17:24:00,1
2019-02-22 21:43:00,1
2019-02-23 01:43:00,1
2019-02-23 04:53:00,1
2019-02-23 10:55:00,1
2019-02-23 11:22:00,1
2019-02-23 12:33:00,1
2019-02-23 12:40:00,1
2019-02-23 16:43:00,1
2019-02-23 20:52:00,1
2019-02-24 02:03:00,4
2019-02-24 03:43:00,1
2019-02-24 06:10:00,1
2019-02-24 06:55:00,1
2019-02-24 08:49:00,1
2019-02-24 11:52:00,1
2019-02-24 12:04:00,1
2019-02-25 01:08:00,1
2019-02-25 01:22:00,1
2019-02-25 03:44:00,1
2019-02-25 10:32:00,1
2019-02-25 16:23:00,1
2019-02-25 22:47:00,1
2019-02-26 00:53:00,1
2019-02-26 07:37:00,1
2019-02-26 09:53:00,1
2019-02-27 02:29:00,1
2019-02-27 03:02:00,1
2019-02-27 05:48:00,1
2019-02-27 10:18:00,1
2019-02-27 12:38:00,1
2019-02-27 18:20:00,1
2019-02-27 23:04:00,1
2019-02-28 10:36:00,1
2019-02-28 13:14:00,1
2019-03-01 05:47:00,1
2019-03-01 13:40:00,1
2019-03-02 05:46:00,1
2019-03-02 15:20:00,1
2019-03-02 16:11:00,1
2019-03-02 20:23:00,1
2019-03-02 23:45:00,1
2019-03-03 08:09:00,1
2019-03-03 08:26:00,1
2019-03-03 08:42:00,1
