2,"SELECT TOP # p.ra, p.dec, p.dVrad_r, p.z from galaxy p, dbo.fgetNearByObjEq (#, #, #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and abs (#* (#-qz) )< #"
2019-06-30 17:54:00,1
2019-06-30 17:56:00,1
