6,"SELECT TOP # objid, ra, dec, r FROM Galaxy WHERE u-r BETWEEN # AND #"
2019-04-29 06:17:00,2
2019-04-29 06:18:00,1
2019-04-29 06:30:00,1
2019-04-29 06:50:00,2
