19,"SELECT g.objID, g.petroR5#_u, g.petroR5#_g, g.petroR5#_r, g.petroR5#_i, g.petroR5#_z, g.petroR9#_u, g.petroR9#_g, g.petroR9#_r, g.petroR9#_i, g.petroR9#_z, g.mCr4_u, g.mCr4_g, g.mCr4_r, g.mCr4_i, g.mCr4_z, g.u, g.g, g.r, g.i, g.z, g.modelMag_u, g.modelMag_g, g.modelMag_r, g.modelMag_i, g.modelMag_z, g.petroMag_u, g.petroMag_g, g.petroMag_r, g.petroMag_i, g.petroMag_z FROM Galaxy AS g WHERE g.specobjID > # AND g.mCr4_u > # AND g.mCr4_g > # AND g.mCr4_r > # AND g.mCr4_i > # AND g.mCr4_z > # AND htmid*# & # < (# * #) order by g.ra"
2019-11-08 15:07:00,1
2019-11-08 17:00:00,1
2019-11-08 17:01:00,1
2019-11-08 17:02:00,1
2019-11-15 20:34:00,1
2019-11-15 20:35:00,2
2019-11-15 20:43:00,1
2019-11-15 20:44:00,2
2019-11-15 20:45:00,3
2019-11-15 20:53:00,4
2019-11-15 20:54:00,2
