91,select objid from photoobj where photoobj.dec between # and -.# and photoobj.ra between # and #
2019-02-27 01:27:00,3
2019-02-27 04:28:00,1
2019-02-27 04:29:00,1
2019-02-27 09:58:00,1
2019-02-27 10:00:00,1
2019-02-27 10:01:00,3
2019-02-27 10:02:00,1
2019-02-27 10:07:00,1
2019-02-27 10:08:00,2
2019-02-27 21:20:00,1
2019-02-28 06:59:00,2
2019-03-02 20:38:00,1
2019-03-03 14:27:00,1
2019-03-03 14:34:00,2
2019-03-03 14:37:00,2
2019-03-05 16:20:00,1
2019-03-05 16:21:00,1
2019-03-07 04:47:00,1
2019-03-07 06:08:00,1
2019-03-07 06:09:00,3
2019-03-07 07:06:00,1
2019-03-07 07:08:00,1
2019-03-07 07:09:00,1
2019-03-07 07:12:00,2
2019-03-07 07:13:00,1
2019-03-07 07:15:00,2
2019-03-07 07:16:00,1
2019-03-07 07:17:00,1
2019-03-07 07:18:00,1
2019-03-07 07:21:00,1
2019-03-07 07:23:00,1
2019-03-07 10:18:00,1
2019-03-07 10:19:00,2
2019-03-07 10:20:00,1
2019-03-07 10:21:00,1
2019-03-07 10:23:00,2
2019-03-07 10:24:00,1
2019-03-07 10:48:00,2
2019-03-07 10:49:00,2
2019-03-07 10:51:00,2
2019-03-07 10:52:00,2
2019-03-07 10:53:00,1
2019-03-07 10:54:00,1
2019-03-07 10:55:00,1
2019-03-07 10:56:00,1
2019-03-07 10:57:00,2
2019-03-07 10:58:00,1
2019-03-07 11:00:00,1
2019-03-07 11:01:00,1
2019-03-07 11:02:00,1
2019-03-07 11:03:00,1
2019-03-07 11:05:00,2
2019-03-07 11:06:00,1
2019-03-07 11:08:00,1
2019-03-07 12:40:00,3
2019-03-07 13:28:00,1
2019-03-07 13:30:00,2
2019-03-07 13:31:00,1
2019-03-07 13:41:00,1
2019-03-08 08:45:00,3
2019-03-14 09:08:00,1
2019-03-14 10:35:00,1
2019-03-14 11:03:00,1
2019-03-14 12:58:00,1
2019-03-14 13:46:00,1
2019-03-14 13:50:00,1
