3,"select dbo.fCosmoDc (#, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT) as distmin"
2019-02-10 18:55:00,1
2019-02-10 18:56:00,1
2019-02-10 19:00:00,1
