11260,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i, p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq (#, #, #) n where p.objID = n.objID AND p.type = #"
2019-01-01 00:53:00,1
2019-01-01 00:55:00,1
2019-01-01 00:56:00,1
2019-01-01 00:59:00,1
2019-01-01 01:01:00,1
2019-01-01 01:03:00,1
2019-01-01 01:05:00,1
2019-01-01 01:07:00,1
2019-01-01 01:09:00,1
2019-01-01 01:13:00,1
2019-01-01 01:15:00,1
2019-01-01 01:18:00,1
2019-01-01 01:19:00,1
2019-01-01 01:21:00,1
2019-01-01 01:23:00,1
2019-01-01 01:26:00,1
2019-01-01 01:27:00,1
2019-01-01 01:37:00,1
2019-01-01 01:41:00,1
2019-01-01 01:51:00,1
2019-01-01 01:53:00,1
2019-01-01 01:54:00,1
2019-01-01 02:01:00,1
2019-01-01 02:03:00,1
2019-01-01 02:05:00,1
2019-01-01 02:07:00,1
2019-01-01 02:09:00,1
2019-01-01 04:04:00,1
2019-01-01 04:10:00,1
2019-01-01 04:15:00,1
2019-01-01 04:52:00,1
2019-01-01 04:59:00,1
2019-01-01 05:00:00,1
2019-01-01 05:02:00,1
2019-01-01 05:04:00,1
2019-01-01 05:05:00,1
2019-01-01 05:07:00,1
2019-01-01 05:14:00,1
2019-01-01 05:15:00,2
2019-01-01 05:18:00,1
2019-01-01 05:45:00,1
2019-01-01 05:54:00,1
2019-01-01 06:00:00,1
2019-01-01 08:31:00,1
2019-01-01 08:36:00,1
2019-01-01 08:40:00,1
2019-01-02 02:35:00,1
2019-01-02 02:40:00,1
2019-01-02 02:42:00,1
2019-01-02 02:43:00,1
2019-01-02 03:02:00,1
2019-01-02 03:04:00,1
2019-01-02 03:13:00,1
2019-01-02 03:24:00,1
2019-01-02 03:29:00,1
2019-01-02 03:31:00,1
2019-01-02 03:36:00,1
2019-01-02 03:45:00,1
2019-01-02 03:57:00,1
2019-01-02 04:02:00,1
2019-01-02 04:10:00,1
2019-01-02 04:25:00,1
2019-01-02 04:37:00,1
2019-01-02 04:42:00,1
2019-01-02 04:47:00,1
2019-01-02 04:56:00,1
2019-01-02 04:57:00,1
2019-01-02 05:03:00,1
2019-01-02 05:08:00,1
2019-01-02 05:16:00,1
2019-01-02 05:25:00,1
2019-01-02 05:26:00,1
2019-01-02 05:27:00,1
2019-01-02 05:28:00,2
2019-01-02 05:30:00,2
2019-01-02 05:32:00,2
2019-01-02 05:33:00,1
2019-01-02 05:34:00,1
2019-01-02 06:12:00,1
2019-01-02 06:16:00,1
2019-01-02 06:21:00,1
2019-01-03 00:53:00,1
2019-01-03 01:03:00,1
2019-01-03 01:05:00,1
2019-01-03 01:06:00,1
2019-01-03 01:09:00,1
2019-01-03 01:11:00,1
2019-01-03 01:16:00,1
2019-01-03 01:21:00,1
2019-01-03 01:29:00,1
2019-01-03 01:43:00,1
2019-01-03 01:54:00,1
2019-01-03 02:10:00,1
2019-01-03 02:18:00,1
2019-01-03 02:24:00,1
2019-01-03 02:39:00,1
2019-01-03 02:47:00,1
2019-01-03 02:58:00,1
