17,"select top #, ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-13 15:29:00,2
2019-02-21 20:42:00,4
2019-03-15 21:50:00,1
2019-03-15 21:52:00,1
2019-04-09 17:18:00,3
2019-06-28 11:17:00,1
2019-09-04 02:08:00,1
2019-10-15 18:03:00,1
2019-10-15 18:04:00,1
2019-10-15 18:09:00,1
2019-10-15 18:12:00,1
