31,"select p.objid, p.ra, p.dec, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z from photoobj p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-12-02 01:56:00,1
2019-12-05 09:30:00,1
2019-12-09 01:34:00,1
2019-12-09 01:39:00,1
2019-12-09 01:48:00,1
2019-12-09 02:02:00,1
2019-12-09 02:42:00,1
2019-12-10 04:29:00,1
2019-12-10 08:09:00,1
2019-12-10 10:16:00,1
2019-12-10 10:17:00,1
2019-12-10 11:48:00,1
2019-12-10 12:29:00,1
2019-12-10 12:30:00,1
2019-12-11 07:04:00,2
2019-12-11 07:05:00,1
2019-12-11 07:07:00,1
2019-12-11 07:13:00,1
2019-12-11 07:26:00,1
2019-12-12 04:51:00,1
2019-12-12 04:52:00,1
2019-12-12 04:54:00,3
2019-12-12 04:55:00,3
2019-12-12 04:56:00,2
2019-12-12 04:58:00,1
