949,"SELECT TOP # objID, cModelMag_g FROM Galaxy WHERE cModelMag_g between # and #"
2019-01-01 08:53:00,1
2019-01-01 11:07:00,1
2019-01-02 00:15:00,1
2019-01-02 00:46:00,1
2019-01-02 00:52:00,1
2019-01-03 11:07:00,1
2019-01-03 13:32:00,1
2019-01-05 06:50:00,1
2019-01-05 11:33:00,1
2019-01-06 12:38:00,1
2019-01-07 00:05:00,1
2019-01-07 23:29:00,1
2019-01-07 23:50:00,1
2019-01-08 03:00:00,1
2019-01-08 03:27:00,1
2019-01-08 05:22:00,1
2019-01-08 06:25:00,1
2019-01-08 07:26:00,1
2019-01-08 08:39:00,1
2019-01-08 10:31:00,1
2019-01-09 11:09:00,1
2019-01-10 02:11:00,1
2019-01-10 13:17:00,2
2019-01-10 21:55:00,1
2019-01-11 04:39:00,1
2019-01-12 03:05:00,1
2019-01-12 09:08:00,1
2019-01-13 08:28:00,1
2019-01-13 09:05:00,1
2019-01-14 11:10:00,1
2019-01-15 15:10:00,1
2019-01-16 01:48:00,1
2019-01-17 04:24:00,1
2019-01-17 12:49:00,1
2019-01-17 23:50:00,1
2019-01-20 18:19:00,1
2019-01-22 08:12:00,1
2019-01-22 08:24:00,1
2019-01-22 13:05:00,1
2019-01-22 20:51:00,1
2019-01-23 23:25:00,1
2019-01-24 12:32:00,1
2019-01-25 11:09:00,1
2019-01-25 12:43:00,1
2019-01-25 12:45:00,1
2019-01-25 15:54:00,1
2019-01-26 10:30:00,1
2019-01-26 19:52:00,1
2019-01-27 09:38:00,1
2019-01-27 21:31:00,1
2019-01-28 13:01:00,1
2019-01-28 13:51:00,1
2019-01-29 00:39:00,1
2019-01-29 14:49:00,1
2019-01-30 09:28:00,1
2019-01-30 15:33:00,2
2019-01-30 21:02:00,1
2019-01-31 20:37:00,1
2019-02-01 07:21:00,1
2019-02-01 21:09:00,1
2019-02-02 07:34:00,1
2019-02-02 14:27:00,1
2019-02-04 13:38:00,1
2019-02-04 14:10:00,1
2019-02-04 14:39:00,1
2019-02-07 04:42:00,1
2019-02-08 01:31:00,1
2019-02-08 04:18:00,1
2019-02-08 16:48:00,1
2019-02-08 18:08:00,1
2019-02-08 20:32:00,1
2019-02-08 22:12:00,1
2019-02-09 17:31:00,1
2019-02-09 17:51:00,1
2019-02-10 05:47:00,1
2019-02-10 09:41:00,1
2019-02-11 04:00:00,1
2019-02-11 11:11:00,1
2019-02-11 18:52:00,1
2019-02-11 20:10:00,1
2019-02-11 21:30:00,1
2019-02-11 22:29:00,1
2019-02-12 04:53:00,1
2019-02-12 18:42:00,1
2019-02-12 18:58:00,1
2019-02-12 23:01:00,1
2019-02-13 12:16:00,1
2019-02-14 00:09:00,1
2019-02-14 10:59:00,1
2019-02-14 12:07:00,1
2019-02-14 12:08:00,1
2019-02-14 12:09:00,1
2019-02-15 21:12:00,1
2019-02-17 08:45:00,1
2019-02-17 20:24:00,1
2019-02-18 03:04:00,1
2019-02-18 23:16:00,1
2019-02-19 00:55:00,1
2019-02-19 16:03:00,1
2019-02-20 03:12:00,1
2019-02-21 01:42:00,1
2019-02-21 06:49:00,1
2019-02-21 07:08:00,1
2019-02-21 12:58:00,1
2019-02-21 17:02:00,1
2019-02-21 17:19:00,1
2019-02-22 00:57:00,1
2019-02-24 11:50:00,1
2019-02-24 12:20:00,1
2019-02-25 17:59:00,1
2019-02-26 01:19:00,1
2019-02-26 15:14:00,1
2019-02-27 16:52:00,1
2019-02-27 19:46:00,1
2019-02-27 22:20:00,1
2019-02-28 01:42:00,1
2019-02-28 03:29:00,1
2019-02-28 07:55:00,1
2019-02-28 17:53:00,1
2019-03-01 00:57:00,1
2019-03-01 01:19:00,1
2019-03-01 01:52:00,1
2019-03-01 03:16:00,1
2019-03-01 04:47:00,1
2019-03-01 10:05:00,1
2019-03-01 12:54:00,1
2019-03-01 18:16:00,1
2019-03-01 19:41:00,1
2019-03-01 20:07:00,1
2019-03-01 21:12:00,1
2019-03-01 22:27:00,1
2019-03-02 02:04:00,1
2019-03-02 03:55:00,1
2019-03-02 22:35:00,1
2019-03-03 02:17:00,1
2019-03-03 08:01:00,1
2019-03-04 17:03:00,5
2019-03-04 17:04:00,5
2019-03-04 22:45:00,1
2019-03-04 23:22:00,1
2019-03-05 07:24:00,1
2019-03-05 08:52:00,1
2019-03-05 16:26:00,1
2019-03-06 10:26:00,1
2019-03-06 13:48:00,1
2019-03-06 16:08:00,1
2019-03-06 20:51:00,1
2019-03-07 10:56:00,1
2019-03-08 07:53:00,1
2019-03-08 11:09:00,1
2019-03-08 14:25:00,1
2019-03-08 20:31:00,1
2019-03-08 22:26:00,1
2019-03-09 01:57:00,1
2019-03-09 08:13:00,1
2019-03-09 09:09:00,1
2019-03-09 14:38:00,1
2019-03-10 01:44:00,1
2019-03-10 18:10:00,1
2019-03-11 01:05:00,1
2019-03-11 02:06:00,1
2019-03-11 03:41:00,1
2019-03-11 04:36:00,1
2019-03-11 07:37:00,1
2019-03-11 07:51:00,1
2019-03-11 15:01:00,1
2019-03-11 16:42:00,1
2019-03-11 20:29:00,1
2019-03-12 21:47:00,1
2019-03-13 02:48:00,1
2019-03-14 00:48:00,1
2019-03-14 07:27:00,1
2019-03-14 07:55:00,1
2019-03-14 10:15:00,1
2019-03-15 01:29:00,1
2019-03-15 02:53:00,1
2019-03-15 03:38:00,1
2019-03-15 17:28:00,1
2019-03-17 21:50:00,1
2019-03-18 14:22:00,1
2019-03-19 13:43:00,2
2019-03-19 17:30:00,1
2019-03-20 13:00:00,1
2019-03-20 15:22:00,1
2019-03-20 21:43:00,1
2019-03-21 14:03:00,1
2019-03-21 16:39:00,1
2019-03-22 20:44:00,1
2019-03-25 01:25:00,1
2019-03-25 04:55:00,1
2019-03-25 05:04:00,1
2019-03-25 06:54:00,1
2019-03-25 07:48:00,1
2019-03-25 08:51:00,1
2019-03-25 09:28:00,1
2019-03-26 01:47:00,1
2019-03-26 06:09:00,1
2019-03-26 08:52:00,1
2019-03-26 09:53:00,1
2019-03-26 20:25:00,1
2019-03-26 20:55:00,1
2019-03-26 21:03:00,1
2019-03-26 21:05:00,1
2019-03-26 21:06:00,2
2019-03-27 17:03:00,1
2019-03-27 18:57:00,1
2019-03-28 16:12:00,1
2019-03-28 17:51:00,1
2019-03-28 18:52:00,1
2019-03-28 19:53:00,1
2019-03-28 22:14:00,1
2019-03-29 12:20:00,1
2019-03-29 23:53:00,1
2019-03-30 08:16:00,1
2019-03-30 08:58:00,1
2019-03-31 12:45:00,1
2019-03-31 18:58:00,2
2019-03-31 20:08:00,1
2019-04-01 06:21:00,1
2019-04-01 18:22:00,1
2019-04-01 18:29:00,1
2019-04-01 19:17:00,1
2019-04-01 20:23:00,1
2019-04-01 22:15:00,1
2019-04-02 09:58:00,1
2019-04-03 15:31:00,1
2019-04-04 12:47:00,1
