3,"select s.specObjID, s.ra, s.dec, s.z, s.class, s.zWarning, s.snMedian, el.ra, el.dec from mydb.MyTable_# as elcross apply dbo.fGetNearestSpecObjEq (el.ra, el.dec, #) as nearjoin SpecObjAll as s ON s.specObjID = near.specObjIDwhere s.snMedian > = # AND s.class = # AND s.zWarning = #"
2019-04-11 06:01:00,2
2019-04-11 06:07:00,1
