40,"select top # p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-10-28 20:49:00,1
2019-10-28 20:50:00,2
2019-10-28 20:51:00,1
2019-10-28 20:52:00,1
2019-10-28 20:53:00,4
2019-10-28 20:59:00,1
2019-10-28 21:00:00,1
2019-10-28 21:01:00,3
2019-10-28 21:02:00,1
2019-10-29 18:54:00,1
2019-10-29 18:56:00,1
2019-10-29 18:57:00,1
2019-10-29 19:00:00,1
2019-10-29 19:08:00,1
2019-10-29 20:53:00,1
2019-10-29 20:54:00,1
2019-10-30 23:13:00,1
2019-10-31 16:21:00,1
2019-10-31 16:22:00,1
2019-10-31 16:23:00,1
2019-10-31 16:40:00,1
2019-10-31 16:46:00,1
2019-10-31 19:42:00,1
2019-10-31 19:54:00,1
2019-10-31 19:56:00,1
2019-10-31 20:01:00,1
2019-10-31 20:09:00,1
2019-11-06 22:09:00,1
2019-11-06 22:10:00,1
2019-11-07 17:25:00,1
2019-11-07 17:27:00,2
2019-12-02 22:16:00,2
