3,"SELECT f1.petroMagErr_u AS petro_uerr, f1.petroMagErr_g AS petro_gerr, f1.petroMagErr_r AS petro_rerr, f1.petroMagErr_i AS petro_ierr, f1.petroMagErr_z AS petro_zerr from SpecPhoto AS f1 JOIN GalSpecLine AS f2 ON f2.specObjID = f1.specObjID WHERE f1.z BETWEEN # and # AND f1.zWarning = # AND f1.class = # AND f1.ra BETWEEN # and # AND f1.dec BETWEEN # and # into mydb.MyTable_err1"
2019-05-27 16:12:00,2
2019-05-27 16:13:00,1
