2,"SELECT TOP # objID, ra, dec, z, color, Mag, cModelMag_g FROM Galaxy WHERE ra BETWEEN # AND # AND dec < # AND cModelMag_g BETWEEN # AND #"
2019-04-24 03:36:00,1
2019-04-24 03:40:00,1
