91,"select top # ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, objID from photoObj where type = # AND modelmag_u-modelmag_r < .#"
2019-01-08 09:24:00,1
2019-01-17 16:45:00,1
2019-02-02 09:24:00,1
2019-02-05 17:34:00,1
2019-02-05 17:36:00,1
2019-02-13 15:28:00,2
2019-02-13 15:34:00,2
2019-02-13 15:36:00,1
2019-02-13 16:00:00,1
2019-02-14 10:42:00,1
2019-02-21 07:32:00,1
2019-02-21 17:52:00,2
2019-02-21 19:35:00,1
2019-03-05 19:34:00,1
2019-03-05 19:35:00,1
2019-03-11 09:02:00,1
2019-03-13 14:03:00,1
2019-03-13 14:24:00,1
2019-03-14 05:18:00,1
2019-03-14 06:45:00,1
2019-03-15 22:09:00,1
2019-03-22 18:13:00,1
2019-03-22 19:44:00,1
2019-03-22 20:02:00,1
2019-04-04 18:37:00,1
2019-04-04 22:58:00,1
2019-04-04 23:00:00,1
2019-04-04 23:06:00,1
2019-04-04 23:25:00,1
2019-04-09 17:16:00,1
2019-04-09 17:23:00,1
2019-04-30 04:31:00,1
2019-05-08 18:06:00,1
2019-05-10 07:37:00,1
2019-05-10 08:02:00,1
2019-06-03 19:43:00,1
2019-06-06 10:00:00,3
2019-06-06 10:02:00,1
2019-06-11 17:39:00,2
2019-06-14 00:04:00,1
2019-06-19 14:11:00,1
2019-06-19 16:19:00,1
2019-06-19 22:19:00,1
2019-06-19 23:22:00,1
2019-06-19 23:29:00,1
2019-06-20 17:47:00,1
2019-06-22 15:31:00,1
2019-06-22 15:32:00,1
2019-06-22 15:33:00,1
2019-06-25 14:15:00,2
2019-06-26 13:57:00,1
2019-06-27 08:00:00,1
2019-06-27 15:25:00,1
2019-06-27 21:24:00,1
2019-06-27 21:25:00,1
2019-07-02 13:12:00,1
2019-07-07 17:25:00,1
2019-07-09 13:10:00,1
2019-07-17 05:48:00,1
2019-07-23 13:31:00,1
2019-07-24 15:01:00,1
2019-07-27 22:28:00,1
2019-08-05 10:23:00,1
2019-08-14 13:06:00,1
2019-08-14 18:34:00,1
2019-08-22 23:45:00,1
2019-08-22 23:46:00,1
2019-09-23 14:12:00,1
2019-09-24 11:03:00,1
2019-09-26 02:46:00,1
2019-09-28 21:53:00,1
2019-10-02 07:38:00,1
2019-10-02 07:39:00,1
2019-10-03 13:57:00,1
2019-10-08 12:17:00,1
2019-10-18 04:32:00,1
2019-10-24 10:24:00,1
2019-10-24 11:05:00,1
2019-11-01 06:20:00,1
2019-11-24 16:44:00,1
2019-11-24 16:52:00,1
2019-11-26 13:20:00,1
2019-12-22 05:45:00,1
2019-12-23 11:04:00,1
