270,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p WHERE (p.i - p.z) > # AND (p.i - p.z) < # AND p.u > #"
2019-01-01 02:01:00,1
2019-01-01 10:50:00,1
2019-01-01 21:15:00,1
2019-01-02 02:33:00,1
2019-01-04 21:36:00,1
2019-01-06 14:57:00,1
2019-01-07 23:36:00,1
2019-01-08 03:34:00,1
2019-01-08 05:02:00,1
2019-01-08 07:25:00,1
2019-01-10 03:00:00,1
2019-01-13 10:36:00,1
2019-01-17 06:38:00,1
2019-01-17 06:40:00,1
2019-01-18 22:30:00,1
2019-01-20 15:45:00,1
2019-01-23 20:10:00,1
2019-01-24 14:30:00,1
2019-01-27 17:06:00,1
2019-01-27 23:39:00,1
2019-01-31 03:44:00,1
2019-01-31 04:20:00,1
2019-02-05 01:21:00,1
2019-02-08 02:38:00,1
2019-02-08 16:37:00,1
2019-02-10 05:59:00,1
2019-02-12 08:56:00,1
2019-02-12 20:22:00,1
2019-02-12 22:35:00,1
2019-02-14 02:03:00,1
2019-02-14 10:22:00,1
2019-02-14 11:53:00,1
2019-02-17 22:15:00,1
2019-02-21 01:21:00,3
2019-02-21 23:08:00,1
2019-02-23 14:03:00,1
2019-02-26 03:37:00,1
2019-02-27 03:55:00,1
2019-02-27 07:48:00,1
2019-02-28 02:34:00,1
2019-02-28 09:22:00,1
2019-02-28 18:47:00,1
2019-02-28 19:33:00,1
2019-03-01 19:52:00,1
2019-03-01 22:26:00,1
2019-03-03 04:03:00,1
2019-03-07 14:52:00,1
2019-03-08 22:58:00,1
2019-03-08 23:04:00,1
2019-03-09 02:02:00,1
2019-03-09 12:58:00,1
2019-03-10 04:28:00,1
2019-03-10 11:38:00,1
2019-03-11 13:53:00,1
2019-03-11 17:32:00,1
2019-03-15 00:25:00,1
2019-03-17 01:56:00,1
2019-03-25 03:05:00,1
2019-03-26 06:20:00,1
2019-03-26 11:56:00,1
2019-03-26 13:11:00,1
2019-03-29 03:42:00,1
2019-04-01 18:28:00,1
2019-04-04 01:36:00,1
2019-04-05 09:02:00,1
2019-04-05 15:59:00,1
2019-04-07 19:59:00,1
2019-04-09 01:27:00,1
2019-04-09 09:26:00,1
2019-04-09 21:24:00,1
2019-04-11 07:45:00,1
2019-04-11 20:14:00,1
2019-04-14 13:54:00,1
2019-04-15 19:10:00,1
2019-04-18 10:49:00,1
2019-04-18 11:14:00,1
2019-04-18 21:59:00,1
2019-04-20 20:06:00,1
2019-04-22 20:31:00,1
2019-04-23 00:17:00,1
2019-04-23 00:41:00,1
2019-04-23 20:36:00,1
2019-04-24 08:43:00,1
2019-04-25 07:37:00,4
2019-04-27 09:31:00,1
2019-04-27 17:32:00,1
2019-04-28 02:31:00,1
2019-04-28 04:19:00,1
2019-04-28 18:43:00,1
2019-04-30 12:18:00,1
2019-05-01 02:48:00,1
2019-05-02 23:58:00,1
2019-05-03 14:50:00,1
2019-05-10 13:00:00,1
2019-05-13 09:36:00,1
2019-05-13 12:21:00,1
2019-05-14 19:31:00,1
2019-05-16 05:56:00,1
2019-05-17 05:36:00,1
2019-05-17 05:40:00,1
2019-05-21 07:33:00,1
2019-05-21 20:21:00,1
2019-05-22 06:04:00,1
2019-05-23 03:02:00,1
2019-05-24 01:03:00,1
2019-05-24 08:59:00,1
2019-05-25 00:16:00,1
2019-05-25 00:49:00,1
2019-05-25 08:08:00,1
2019-05-29 16:56:00,1
2019-05-30 08:29:00,1
2019-06-01 22:10:00,1
2019-06-02 17:57:00,1
2019-06-02 22:20:00,1
2019-06-05 21:53:00,1
2019-06-14 15:16:00,1
2019-06-15 00:50:00,1
2019-06-18 06:37:00,1
2019-06-21 04:07:00,1
2019-06-21 07:30:00,1
2019-06-22 06:07:00,1
2019-06-27 03:48:00,1
2019-06-27 17:06:00,1
2019-06-28 18:25:00,1
2019-06-28 19:54:00,1
2019-07-02 05:38:00,1
2019-07-02 19:39:00,1
2019-07-02 23:54:00,1
2019-07-03 10:46:00,1
2019-07-04 13:51:00,1
2019-07-05 10:28:00,1
2019-07-05 21:16:00,1
2019-07-07 03:09:00,1
2019-07-14 02:46:00,1
2019-07-14 11:43:00,1
2019-07-18 03:46:00,1
2019-07-18 10:47:00,1
2019-07-20 05:43:00,1
2019-07-20 18:58:00,1
2019-07-20 19:32:00,1
2019-07-22 05:38:00,1
2019-07-23 16:14:00,1
2019-07-25 23:12:00,1
2019-07-29 19:29:00,1
2019-07-30 19:33:00,1
2019-07-30 23:13:00,1
2019-08-01 11:32:00,1
2019-08-01 12:49:00,1
2019-08-03 08:06:00,1
2019-08-05 13:30:00,1
2019-08-07 14:44:00,1
2019-08-10 09:04:00,1
2019-08-11 01:34:00,1
2019-08-12 04:11:00,1
2019-08-12 09:37:00,1
2019-08-12 19:33:00,1
2019-08-13 00:23:00,1
2019-08-17 00:00:00,1
2019-08-23 01:47:00,1
2019-08-23 10:36:00,1
2019-08-23 17:07:00,1
2019-08-25 05:10:00,1
2019-08-25 05:18:00,1
2019-08-27 18:41:00,1
2019-08-28 00:58:00,1
2019-09-01 00:06:00,1
2019-09-01 00:49:00,1
2019-09-01 09:19:00,1
2019-09-01 10:42:00,1
2019-09-02 23:56:00,1
2019-09-06 22:27:00,1
2019-09-13 18:29:00,1
2019-09-13 20:33:00,1
2019-09-15 00:05:00,1
2019-09-17 21:48:00,1
2019-09-19 19:07:00,1
2019-09-20 01:28:00,1
2019-09-20 11:58:00,1
2019-09-21 13:47:00,1
2019-09-21 18:06:00,1
2019-09-22 20:04:00,1
2019-09-24 05:04:00,1
2019-09-24 07:17:00,1
2019-09-25 19:19:00,1
2019-09-25 22:56:00,1
2019-09-29 19:53:00,1
2019-09-30 01:52:00,1
2019-09-30 18:09:00,1
2019-10-02 07:50:00,1
2019-10-02 11:37:00,1
2019-10-10 16:43:00,1
2019-10-13 17:07:00,1
2019-10-14 08:05:00,1
2019-10-16 06:52:00,1
2019-10-17 13:47:00,1
2019-10-19 08:26:00,1
2019-10-19 20:23:00,1
2019-10-20 09:45:00,1
2019-10-21 01:27:00,1
2019-10-21 02:59:00,1
2019-10-22 22:00:00,1
2019-10-22 23:19:00,1
2019-10-23 01:08:00,1
2019-10-24 09:55:00,1
2019-10-27 08:55:00,1
2019-10-31 18:36:00,1
2019-11-02 00:50:00,1
2019-11-02 01:17:00,1
2019-11-03 01:55:00,1
2019-11-04 12:27:00,1
2019-11-04 14:39:00,1
2019-11-05 02:37:00,1
2019-11-08 07:06:00,1
2019-11-08 21:33:00,1
2019-11-09 13:21:00,1
2019-11-09 17:10:00,1
2019-11-15 00:51:00,1
2019-11-15 02:27:00,1
2019-11-15 03:25:00,1
2019-11-16 14:04:00,1
2019-11-21 20:08:00,1
2019-11-22 09:21:00,1
2019-11-22 18:09:00,1
2019-11-24 11:09:00,1
2019-11-27 05:04:00,1
2019-11-27 13:38:00,1
2019-11-28 11:44:00,1
2019-11-28 13:24:00,1
2019-12-01 00:58:00,1
2019-12-01 13:39:00,1
2019-12-04 06:39:00,1
2019-12-05 10:03:00,1
2019-12-05 11:19:00,1
2019-12-05 11:33:00,1
2019-12-06 04:44:00,1
2019-12-06 11:08:00,1
2019-12-06 14:07:00,1
2019-12-06 20:03:00,1
2019-12-06 23:45:00,1
2019-12-07 09:33:00,1
2019-12-07 09:35:00,1
2019-12-07 18:56:00,1
2019-12-07 19:23:00,1
2019-12-08 04:55:00,1
2019-12-08 13:51:00,1
2019-12-08 22:41:00,1
2019-12-09 07:51:00,1
2019-12-09 16:22:00,1
2019-12-10 01:35:00,1
2019-12-11 20:18:00,1
2019-12-12 11:20:00,1
2019-12-13 17:55:00,1
2019-12-14 07:04:00,1
2019-12-18 03:22:00,1
2019-12-18 09:06:00,1
2019-12-20 00:34:00,1
2019-12-22 16:03:00,1
2019-12-25 05:31:00,1
2019-12-25 17:56:00,1
2019-12-26 03:32:00,1
2019-12-26 16:31:00,1
2019-12-27 00:39:00,1
2019-12-27 13:46:00,1
2019-12-27 16:55:00,1
2019-12-31 11:29:00,1
