5,"select specObjId, ra, dec, z, specClass from specObj where SpecClass = (Select AVG (specClass) from specObj) AND ra BETWEEN # and # order by ra DESC"
2019-12-05 12:47:00,1
2019-12-05 12:48:00,2
2019-12-05 12:49:00,2
