5,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.type, pz.z, pz.zErr, pz.nnAvgZ, pz.absMagG, pz.absMagR FROM PhotoObj AS p JOIN Photoz AS pz ON pz.objid = p.objid WHERE pz.z BETWEEN # and # AND p.type = # AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-04-09 14:53:00,1
2019-04-09 18:55:00,2
2019-04-09 18:57:00,1
2019-04-09 18:59:00,1
