4,"select p.objid, p.ra, p.dec, p.l, p.b, p.u, p.g, p.r, p.i, p.z into mydb.Orphan_SDSS_DR7 from fGetObjFromRect (#, #, #, #) n, photoobj p where (p.g BETWEEN # AND #) and (p.g-p.r BETWEEN # AND #) and p.u-p.g > # and n.objid = p.objid"
2019-07-08 10:38:00,2
2019-07-09 11:12:00,2
